"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj" "trin_geneid"
"TRINITY_DN10196_c2_g1" 4.63756757111507 -4.30468442893515 1.14421079032415 -3.76214283708656 0.00016846378545165 0.0203943042220257 "TRINITY_DN10196_c2_g1"
"TRINITY_DN10219_c0_g1" 64.067187064055 -2.05367157082338 0.512099536885609 -4.0102976528997 6.0642251335623e-05 0.0104529570712821 "TRINITY_DN10219_c0_g1"
"TRINITY_DN1031_c0_g5" 462.304391143408 -2.26963667051383 0.358454068772311 -6.33173638755793 2.42417409021793e-10 2.42678473923816e-07 "TRINITY_DN1031_c0_g5"
"TRINITY_DN10493_c0_g1" 129.889763285933 -4.31059953921746 1.07922324849286 -3.99416853300486 6.49216742508354e-05 0.0107087506186282 "TRINITY_DN10493_c0_g1"
"TRINITY_DN1054_c0_g1" 55.3843549109739 -24.1476360872136 4.34235802491643 -5.56095005263374 2.68309985708352e-08 1.74589307700425e-05 "TRINITY_DN1054_c0_g1"
"TRINITY_DN10664_c0_g1" 37.825831109729 -23.4814599949306 3.93534048148136 -5.96681789172449 2.41925157615332e-09 1.85200823600349e-06 "TRINITY_DN10664_c0_g1"
"TRINITY_DN10677_c0_g2" 34.4642573826018 -5.51365045639589 1.35478765621898 -4.0697525040815 4.7063107181439e-05 0.00887651125882967 "TRINITY_DN10677_c0_g2"
"TRINITY_DN10748_c0_g2" 52.5692162064711 -2.09118403149191 0.554220213074205 -3.77320058373966 0.000161166610136948 0.0198414098533732 "TRINITY_DN10748_c0_g2"
"TRINITY_DN10789_c0_g1" 11.2200205906708 -8.46487547190545 1.92984231151312 -4.38630421843557 1.1529284266255e-05 0.00315878116717984 "TRINITY_DN10789_c0_g1"
"TRINITY_DN10813_c0_g1" 54.6494050702869 -5.28924514285899 1.15287873582332 -4.58785905100566 4.47814807091571e-06 0.00153364786828677 "TRINITY_DN10813_c0_g1"
"TRINITY_DN10935_c0_g2" 175.492055800299 -2.47314014324116 0.647119644643285 -3.82176644413945 0.000132499150119695 0.0179619160381012 "TRINITY_DN10935_c0_g2"
"TRINITY_DN10940_c0_g1" 27.0876366603012 -2.67765729528768 0.670694574299064 -3.99236462899088 6.54176789750224e-05 0.0107087506186282 "TRINITY_DN10940_c0_g1"
"TRINITY_DN11101_c0_g1" 53.1542036605772 -4.79688956654526 1.23920489293689 -3.87094143501703 0.000108415838813609 0.0153361274600033 "TRINITY_DN11101_c0_g1"
"TRINITY_DN11186_c0_g2" 177.099801293461 -5.41732869514562 1.32582083456797 -4.08601867907054 4.3883846846779e-05 0.00842633889710603 "TRINITY_DN11186_c0_g2"
