"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj" "trin_geneid"
"TRINITY_DN11352_c0_g1" 42.0186730576354 3.41917124641759 0.994490268504671 3.43811433324401 0.000585780309346641 0.0498186686801541 "TRINITY_DN11352_c0_g1"
"TRINITY_DN11841_c0_g2" 77.7546147900603 2.38901412155747 0.472800902108253 5.05289670748235 4.35159263643544e-07 0.000226526506282283 "TRINITY_DN11841_c0_g2"
"TRINITY_DN12242_c0_g1" 10.5587424599761 2.73347265943635 0.758958736069972 3.60160905926292 0.000316253700556068 0.0322802012473464 "TRINITY_DN12242_c0_g1"
"TRINITY_DN15999_c0_g1" 26.329641259669 2.22718567922632 0.399795228002329 5.57081606590198 2.53548896434216e-08 1.69214632727943e-05 "TRINITY_DN15999_c0_g1"
"TRINITY_DN16876_c0_g1" 7.58759385262773 2.42172591069068 0.602609974031863 4.01872855586462 5.85130331948726e-05 0.0102771858572467 "TRINITY_DN16876_c0_g1"
"TRINITY_DN18813_c0_g1" 4.17179431106256 3.29728827187409 0.928746993559589 3.55025458465996 0.000384858778474402 0.0372735794020518 "TRINITY_DN18813_c0_g1"
"TRINITY_DN20301_c0_g3" 463.07405217111 21.0246509734135 1.74738919677509 12.0320367163856 2.41137716188571e-33 6.27633247695614e-29 "TRINITY_DN20301_c0_g3"
"TRINITY_DN20662_c0_g2" 5.74245357002691 2.62497024749944 0.718584432553379 3.65297399801998 0.000259220489520895 0.0288332944497857 "TRINITY_DN20662_c0_g2"
"TRINITY_DN2509_c0_g1" 23.2307053916103 2.04952880146442 0.589442836121191 3.47706117687556 0.000506942133657971 0.0457684577448088 "TRINITY_DN2509_c0_g1"
"TRINITY_DN25199_c0_g1" 6.28757565006 6.28834995777678 1.03462668749776 6.07789266772648 1.21772214694729e-09 9.90464751273249e-07 "TRINITY_DN25199_c0_g1"
"TRINITY_DN27343_c0_g1" 24.6355869006952 14.9030971920088 4.33573723327782 3.43726946310859 0.000587610699431662 0.0498186686801541 "TRINITY_DN27343_c0_g1"
"TRINITY_DN27805_c0_g1" 4.20324621954104 3.37141707720243 0.834518266264098 4.03995600035851 5.34612299716071e-05 0.00953074584726705 "TRINITY_DN27805_c0_g1"
"TRINITY_DN3294_c1_g1" 5120.67105566461 3.79172822327667 0.960976740984715 3.9457023896242 7.9566391639373e-05 0.0120404304743581 "TRINITY_DN3294_c1_g1"
"TRINITY_DN431_c0_g2" 88.8244227285526 14.5176948794619 4.0259793585085 3.60600330669362 0.000310949174907934 0.0321166076369194 "TRINITY_DN431_c0_g2"
"TRINITY_DN43691_c0_g1" 35.7611495412024 2.59098005827898 0.718767559500956 3.60475375388104 0.000312449037158584 0.032143966557959 "TRINITY_DN43691_c0_g1"
"TRINITY_DN4652_c0_g1" 28.8792511256193 3.11455052638165 0.808866338601574 3.85051321552867 0.00011787056939197 0.016406070482001 "TRINITY_DN4652_c0_g1"
"TRINITY_DN539_c0_g1" 175.751806649914 16.7762562773345 4.34642713618224 3.85978086177471 0.000113488751745712 0.0158811033894483 "TRINITY_DN539_c0_g1"
"TRINITY_DN5911_c0_g2" 250.665315288917 15.6996977006103 3.05705785929017 5.135557919815 2.81308223722355e-07 0.000152539384313447 "TRINITY_DN5911_c0_g2"
"TRINITY_DN685_c0_g1" 286.970578663243 16.66640047247 3.52826706777389 4.72367883505639 2.3161609594477e-06 0.000913409658371283 "TRINITY_DN685_c0_g1"
"TRINITY_DN7220_c0_g2" 75.4256753284262 3.6025935983984 0.759435046716967 4.74378106985238 2.09765550143574e-06 0.000839965806021068 "TRINITY_DN7220_c0_g2"
"TRINITY_DN90398_c0_g1" 21.2807021110102 2.46515555761715 0.556968872933731 4.42602033509054 9.59874794316138e-06 0.00276551433324578 "TRINITY_DN90398_c0_g1"
"TRINITY_DN9659_c0_g1" 10.3666167132902 2.97129129644468 0.827010229183566 3.59281081611043 0.000327130095381265 0.0331305140956559 "TRINITY_DN9659_c0_g1"
