"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj" "trin_geneid"
"TRINITY_DN10005_c0_g1" 11.906781848139 -4.2485449527477 0.786631011834896 -5.4009375283051 6.62935112500207e-08 7.71145906466008e-07 "TRINITY_DN10005_c0_g1"
"TRINITY_DN10030_c0_g1" 16.6788522478775 -3.59905549784593 0.739260869235815 -4.86845124315362 1.12476264942138e-06 1.0686735203293e-05 "TRINITY_DN10030_c0_g1"
"TRINITY_DN10031_c0_g1" 1220.14865063428 -2.43057391554007 0.155774403689027 -15.6031662325746 6.92716432165117e-55 2.69595569587982e-52 "TRINITY_DN10031_c0_g1"
"TRINITY_DN10048_c0_g1" 15.950532721906 -4.34705886873736 0.372184673089412 -11.6798438599137 1.61592083586662e-31 1.77133854944724e-29 "TRINITY_DN10048_c0_g1"
"TRINITY_DN10053_c0_g1" 1.70631216064733 -3.89615694049004 0.848745652841087 -4.59048824279461 4.4221036785811e-06 3.73945957862833e-05 "TRINITY_DN10053_c0_g1"
"TRINITY_DN10060_c0_g1" 11.708187184761 -3.13773602166483 0.488650186701263 -6.42123160301397 1.35176180856745e-10 2.28887695106674e-09 "TRINITY_DN10060_c0_g1"
"TRINITY_DN10074_c0_g2" 37.3627828779214 -2.10602038991477 0.33002639919452 -6.38136947545662 1.75511279890423e-10 2.94012139035659e-09 "TRINITY_DN10074_c0_g2"
"TRINITY_DN10076_c0_g1" 10.2341627389979 -3.83129511110234 0.614812832713177 -6.23164466849982 4.61563469129302e-10 7.2619222712744e-09 "TRINITY_DN10076_c0_g1"
"TRINITY_DN1009_c0_g1" 144.169548793593 -4.95274312222071 0.51649154946773 -9.58920456167145 8.87666996157137e-22 4.69602966723594e-20 "TRINITY_DN1009_c0_g1"
"TRINITY_DN10094_c0_g1" 15.1661358393556 -6.16997009886042 0.909033788719878 -6.78739357702987 1.14177423038711e-11 2.21238036420629e-10 "TRINITY_DN10094_c0_g1"
"TRINITY_DN101_c0_g1" 195.795201564124 -2.27591777264925 0.235523053793542 -9.66324839964205 4.3194562095179e-22 2.33935597625509e-20 "TRINITY_DN101_c0_g1"
"TRINITY_DN101_c1_g1" 20.8455500806403 -2.74350469972733 0.33368540803124 -8.22183000423706 2.00421143512687e-16 6.62855303692652e-15 "TRINITY_DN101_c1_g1"
"TRINITY_DN10104_c0_g2" 22.1727092370006 -5.88614726464373 2.43647342779713 -2.41584709994786 0.0156986519825895 0.0480491875136198 "TRINITY_DN10104_c0_g2"
"TRINITY_DN10104_c0_g3" 2.08721040538617 -6.29444965025765 2.53765750859632 -2.48041732540156 0.0131228691951274 0.0415623181765111 "TRINITY_DN10104_c0_g3"
"TRINITY_DN10106_c1_g1" 0.854735339929949 -3.82815101688157 1.37192758338455 -2.79034481356334 0.00526519342193739 0.0195777689044857 "TRINITY_DN10106_c1_g1"
"TRINITY_DN10114_c0_g4" 144.057355803344 -2.27377157440154 0.233944677232411 -9.71927039033538 2.49563249105199e-22 1.3844555714173e-20 "TRINITY_DN10114_c0_g4"
"TRINITY_DN10122_c0_g2" 51.5019577106403 -2.58463090880097 0.299909995160467 -8.61802190826639 6.81206499442394e-18 2.6007583501525e-16 "TRINITY_DN10122_c0_g2"
"TRINITY_DN10123_c0_g1" 50.6491762049223 -2.09171136178362 0.51317175652172 -4.0760453692176 4.58080850001753e-05 0.000308821660726977 "TRINITY_DN10123_c0_g1"
"TRINITY_DN10132_c0_g1" 216.394600824244 -2.39477992153286 0.22389807549627 -10.695848618729 1.06440784706628e-26 8.208693696154e-25 "TRINITY_DN10132_c0_g1"
"TRINITY_DN10153_c0_g1" 727.865062665367 -2.00156389873777 0.1991495035501 -10.0505593187896 9.13474667843053e-24 5.70410394266921e-22 "TRINITY_DN10153_c0_g1"
"TRINITY_DN101575_c0_g1" 1.12850189071563 -5.02973180921228 1.85406341317244 -2.71281541584709 0.00667142566215931 0.0238051830397092 "TRINITY_DN101575_c0_g1"
"TRINITY_DN1018_c0_g5" 114.117292973899 -2.19036351009804 0.395773467066252 -5.53438694699404 3.12318798289705e-08 3.81136734762631e-07 "TRINITY_DN1018_c0_g5"
"TRINITY_DN10187_c0_g1" 176.182902097595 -2.6876918925584 0.174810719920857 -15.3748688511506 2.41331584776377e-53 8.29866589979315e-51 "TRINITY_DN10187_c0_g1"
"TRINITY_DN10192_c0_g1" 51.678785829193 -3.3426158381929 0.241096395029059 -13.8642298562367 1.04339966772607e-43 2.2386273640251e-41 "TRINITY_DN10192_c0_g1"
"TRINITY_DN10194_c0_g1" 21.8211134432665 -5.48289576158236 0.708107043882519 -7.74303236911737 9.70733150344871e-15 2.68664045275988e-13 "TRINITY_DN10194_c0_g1"
"TRINITY_DN10213_c0_g2" 9.9666719262914 -4.64879938344378 0.535820705443363 -8.67603535327578 4.09804820429737e-18 1.59737973677601e-16 "TRINITY_DN10213_c0_g2"
"TRINITY_DN10213_c0_g3" 2.1918633965796 -3.98860914975747 1.3632732252149 -2.92575917723955 0.00343616819763441 0.0136882348934568 "TRINITY_DN10213_c0_g3"
"TRINITY_DN10213_c0_g4" 7.18900541603147 -5.16274934851971 0.761397475180914 -6.78062315256956 1.19658626036062e-11 2.31412223426059e-10 "TRINITY_DN10213_c0_g4"
"TRINITY_DN10214_c0_g1" 10.2263688161481 -2.19850638541816 0.477405944275439 -4.6051089471767 4.12249978375246e-06 3.50668762661728e-05 "TRINITY_DN10214_c0_g1"
"TRINITY_DN10219_c0_g1" 65.2619174898231 -2.61774188330174 0.385759807277008 -6.78593734733484 1.15335198207733e-11 2.23395201621112e-10 "TRINITY_DN10219_c0_g1"
"TRINITY_DN10223_c0_g1" 310.982083206182 -2.6315862018135 0.204571883427872 -12.8638704289065 7.1885103339568e-38 1.19108634097789e-35 "TRINITY_DN10223_c0_g1"
"TRINITY_DN10233_c0_g1" 3.4333939151013 -3.89534234759609 1.33532333306776 -2.91715291055909 0.00353242552449642 0.0140202696481787 "TRINITY_DN10233_c0_g1"
"TRINITY_DN10236_c0_g1" 1.31926427768837 -5.63443174798823 2.19594475391349 -2.56583492728897 0.01029277984647 0.0340279871060203 "TRINITY_DN10236_c0_g1"
"TRINITY_DN10238_c0_g1" 236.367133110142 -2.45638943030288 0.409253855549195 -6.00211677176883 1.9476154512636e-09 2.79931387720266e-08 "TRINITY_DN10238_c0_g1"
"TRINITY_DN1024_c0_g2" 408.51548001756 -2.69233707570961 0.310174845191999 -8.68006260805273 3.95551023309919e-18 1.54662298483446e-16 "TRINITY_DN1024_c0_g2"
"TRINITY_DN1024_c0_g3" 8.81100870071243 -2.12370342323257 0.410363636466762 -5.17517449040488 2.27698080442285e-07 2.42451370702119e-06 "TRINITY_DN1024_c0_g3"
"TRINITY_DN10251_c0_g1" 226.139532634487 -2.05286178307436 0.181001042942297 -11.3417124548217 8.15331881957689e-30 7.75260172986473e-28 "TRINITY_DN10251_c0_g1"
"TRINITY_DN10257_c0_g1" 10.1983552195854 -7.86147652570962 1.19107987409966 -6.60029331085133 4.10345112170125e-11 7.40257864049627e-10 "TRINITY_DN10257_c0_g1"
"TRINITY_DN10264_c0_g3" 3.29860194816705 -4.87693984445234 1.61168229407097 -3.02599331294607 0.00247817783478813 0.0103663487914962 "TRINITY_DN10264_c0_g3"
"TRINITY_DN10271_c0_g1" 2542.16144303598 -8.46984437161009 0.555389771745004 -15.2502707152822 1.63951962196266e-52 5.37987468108727e-50 "TRINITY_DN10271_c0_g1"
"TRINITY_DN10276_c0_g1" 85.9646552516639 -4.18493658104384 0.404843604775947 -10.3371685551509 4.78465666184061e-25 3.28160775556978e-23 "TRINITY_DN10276_c0_g1"
"TRINITY_DN10277_c0_g1" 11.0000494141729 -2.76816251188179 0.822196271149442 -3.36679039910003 0.000760484654436635 0.00372889267272109 "TRINITY_DN10277_c0_g1"
"TRINITY_DN1028_c0_g2" 775.741380828091 -4.21397710841533 0.270272640832691 -15.5915785461391 8.30555809710662e-55 3.18305758981098e-52 "TRINITY_DN1028_c0_g2"
"TRINITY_DN10284_c0_g1" 128.158868867264 -2.92802491401108 0.607162350805228 -4.82247443394322 1.41788207672626e-06 1.31848063830416e-05 "TRINITY_DN10284_c0_g1"
"TRINITY_DN10290_c0_g1" 12.6866730359763 -2.62186807189116 0.397132318750111 -6.60200126784678 4.05644043304619e-11 7.32563382098329e-10 "TRINITY_DN10290_c0_g1"
"TRINITY_DN10291_c0_g1" 7.01497723979341 -4.81081298451654 0.800868339604108 -6.00699608988747 1.88992072484832e-09 2.72732020669761e-08 "TRINITY_DN10291_c0_g1"
"TRINITY_DN10305_c0_g3" 12.5839237086709 -2.84059961889962 0.548515990479292 -5.17869974295099 2.23437754421497e-07 2.38268743855804e-06 "TRINITY_DN10305_c0_g3"
"TRINITY_DN10308_c0_g1" 2.8983558331522 -2.49640781601021 0.607229316466538 -4.1111450786612 3.93701711766986e-05 0.000270061407832512 "TRINITY_DN10308_c0_g1"
"TRINITY_DN10316_c0_g5" 5.98356457624182 -3.73911060937919 0.565805403297311 -6.60847455253873 3.88300266777382e-11 7.02761892341689e-10 "TRINITY_DN10316_c0_g5"
"TRINITY_DN10318_c0_g1" 1.18903548439175 -3.52282455936509 1.32731366268413 -2.6541010300769 0.00795200141589552 0.0275274240560597 "TRINITY_DN10318_c0_g1"
"TRINITY_DN10367_c0_g1" 234.335017691241 -2.38379810105438 0.204924322079963 -11.6325777089759 2.81467445123371e-31 3.04548988845234e-29 "TRINITY_DN10367_c0_g1"
"TRINITY_DN10378_c0_g2" 37.0394597354711 -2.01392608337773 0.434171366983681 -4.63855112641141 3.50860147054865e-06 3.02142944818002e-05 "TRINITY_DN10378_c0_g2"
"TRINITY_DN10394_c0_g2" 4.2389539887268 -3.00785956050484 0.61147036154761 -4.91906026792869 8.6960693604883e-07 8.40396847436603e-06 "TRINITY_DN10394_c0_g2"
"TRINITY_DN10398_c0_g2" 155.750147843942 -2.99499937161932 0.289238333249459 -10.3547802186933 3.98099820110214e-25 2.74541228964743e-23 "TRINITY_DN10398_c0_g2"
"TRINITY_DN10406_c0_g1" 187.751854311738 -2.20691257556093 0.279496125497214 -7.89603995989178 2.87904417847068e-15 8.40362866163491e-14 "TRINITY_DN10406_c0_g1"
"TRINITY_DN10409_c0_g1" 4.22840963778201 -2.98095752736691 0.543591529475046 -5.48381894442995 4.1624078529437e-08 4.97793440345494e-07 "TRINITY_DN10409_c0_g1"
"TRINITY_DN10413_c0_g1" 89.6115099319418 -3.04572623353931 0.414058922689115 -7.35577973723829 1.89815792637696e-13 4.461470912629e-12 "TRINITY_DN10413_c0_g1"
"TRINITY_DN1042_c0_g2" 29.2168255564381 -2.87827153679733 1.18414744194747 -2.43066989366093 0.0150709385342762 0.0464964339158937 "TRINITY_DN1042_c0_g2"
"TRINITY_DN1043_c0_g1" 140.417604018626 -2.05532811215353 0.447743639255615 -4.59041275398253 4.42370340160305e-06 3.74018237247358e-05 "TRINITY_DN1043_c0_g1"
"TRINITY_DN10439_c0_g1" 14.0645285052232 -4.71189494577745 0.569764103281405 -8.26990489334189 1.34065917427954e-16 4.50219356820764e-15 "TRINITY_DN10439_c0_g1"
"TRINITY_DN1044_c0_g1" 976.490492458398 -9.52788074489287 1.39949637386519 -6.8080781935707 9.89111035191129e-12 1.92997743963353e-10 "TRINITY_DN1044_c0_g1"
"TRINITY_DN1044_c0_g2" 92.6261772789466 -11.4026190263526 0.914760131443378 -12.4651464732735 1.15659078559481e-35 1.67339021299099e-33 "TRINITY_DN1044_c0_g2"
"TRINITY_DN10448_c0_g1" 11.8244729529277 -2.03247489839858 0.804698511814144 -2.52575948452606 0.0115448488847207 0.0374206945740463 "TRINITY_DN10448_c0_g1"
"TRINITY_DN10454_c0_g1" 212.162734815969 -12.9622184801097 1.86341262719153 -6.95617185960897 3.49643298504111e-12 7.19419745958972e-11 "TRINITY_DN10454_c0_g1"
"TRINITY_DN10460_c0_g1" 424.440839658578 -2.4340951403678 0.34931868169172 -6.96812185532045 3.21199970985445e-12 6.63069265761688e-11 "TRINITY_DN10460_c0_g1"
"TRINITY_DN10469_c0_g2" 18.0421100427668 -4.94642676012589 0.671499079410113 -7.36624503561664 1.75501111763428e-13 4.14052317485098e-12 "TRINITY_DN10469_c0_g2"
"TRINITY_DN1047_c0_g1" 391.759603083566 -2.52163530700282 0.222373288932001 -11.3396501851169 8.34774738538927e-30 7.92246989571774e-28 "TRINITY_DN1047_c0_g1"
"TRINITY_DN10488_c0_g1" 58.9759699108093 -4.37605588714246 0.359319414144539 -12.1787348940243 4.03492024289323e-34 5.26164079985597e-32 "TRINITY_DN10488_c0_g1"
