"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj" "trin_geneid"
"TRINITY_DN0_c2_g1" 2.14203360176746 3.72689554965733 1.27675746197633 2.91903173519611 0.00351120476301687 0.0141196139464276 "TRINITY_DN0_c2_g1"
"TRINITY_DN1_c0_g2" 93.062360166353 2.95758439696971 0.569025855014299 5.19762743802809 2.01848158700516e-07 2.22207357429056e-06 "TRINITY_DN1_c0_g2"
"TRINITY_DN1_c1_g3" 24.2446374136984 3.75165402034213 0.466462955616448 8.04276947433947 8.7830463176102e-16 2.77712078665379e-14 "TRINITY_DN1_c1_g3"
"TRINITY_DN10002_c0_g1" 5.38508446048753 3.21907828041246 0.946283766801835 3.40181073938531 0.0006694097866601 0.00339196906512231 "TRINITY_DN10002_c0_g1"
"TRINITY_DN100030_c0_g1" 0.916572588437122 5.13216028055275 2.0931978411619 2.45182761974566 0.0142132733260658 0.0445925484075818 "TRINITY_DN100030_c0_g1"
"TRINITY_DN10006_c0_g1" 1.45050339203359 5.79031830209548 1.99192564046828 2.90689480794788 0.00365035928736317 0.0145745584268291 "TRINITY_DN10006_c0_g1"
"TRINITY_DN10009_c0_g1" 6.40998654004963 2.58387833885159 0.919758594809723 2.80930056368338 0.00496492701858492 0.0188934890083604 "TRINITY_DN10009_c0_g1"
"TRINITY_DN10015_c0_g1" 34.2398934156052 2.51810989474249 0.733341779171337 3.43374667346501 0.000595300269366776 0.00305686628346006 "TRINITY_DN10015_c0_g1"
"TRINITY_DN10016_c0_g1" 130.084268901896 3.9386663691183 0.322034957706694 12.23055533215 2.13474179108469e-34 3.01406617982234e-32 "TRINITY_DN10016_c0_g1"
"TRINITY_DN10017_c1_g1" 1.82427369678855 2.63158683971732 1.09462375197742 2.40410171528198 0.0162122616674383 0.0496120903691959 "TRINITY_DN10017_c1_g1"
"TRINITY_DN10017_c1_g2" 2.68295994660197 3.12887818109995 1.02682215417297 3.04714713096546 0.00231024598363617 0.00989606166786585 "TRINITY_DN10017_c1_g2"
"TRINITY_DN10018_c0_g1" 10.68418941839 3.48562496013308 1.09278227683152 3.18967925636525 0.00142430775966333 0.00654085651950987 "TRINITY_DN10018_c0_g1"
"TRINITY_DN1002_c1_g1" 1847.01270155382 2.74411544221877 0.367873827011312 7.45939297859967 8.69219981019257e-14 2.17390296528712e-12 "TRINITY_DN1002_c1_g1"
"TRINITY_DN1002_c1_g2" 4.08563039921862 7.2886073461741 1.30751491722875 5.57439708727925 2.48388587809886e-08 3.15405239677874e-07 "TRINITY_DN1002_c1_g2"
"TRINITY_DN1002_c14_g1" 2.30783144439904 3.50459090883335 0.936761358600405 3.74117791757495 0.00018315979661785 0.00108579376990135 "TRINITY_DN1002_c14_g1"
"TRINITY_DN1002_c23_g1" 1.06242421569804 3.6466907251727 1.43232349745872 2.5459965794339 0.0108966256092664 0.0359482852624147 "TRINITY_DN1002_c23_g1"
"TRINITY_DN100211_c0_g1" 2.03750226084847 4.53634373737752 1.15224051606576 3.9369764160581 8.25147128820801e-05 0.000533118889035318 "TRINITY_DN100211_c0_g1"
"TRINITY_DN10022_c0_g1" 3.08587616649472 4.00389455503647 0.993763176202921 4.02902286069302 5.60091721482944e-05 0.000376770160274325 "TRINITY_DN10022_c0_g1"
"TRINITY_DN10028_c1_g4" 1.19794276084546 4.09451134051625 1.21613993267138 3.36680938641841 0.000760432298545205 0.00379100491557601 "TRINITY_DN10028_c1_g4"
"TRINITY_DN10033_c0_g1" 427.97146696024 2.31257686516877 0.493887991666851 4.68239136036478 2.83547471053812e-06 2.54130729727674e-05 "TRINITY_DN10033_c0_g1"
"TRINITY_DN10047_c0_g3" 1.55168412014187 3.40211301404357 1.1045802527471 3.08000528307699 0.00206996923170178 0.00902149052927231 "TRINITY_DN10047_c0_g3"
