"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj" "trin_geneid"
"TRINITY_DN1_c2_g5" 38.4600365072952 -2.4500847045878 0.817125488157621 -2.9984191413635 0.00271384158875166 0.0251853404610819 "TRINITY_DN1_c2_g5"
"TRINITY_DN1004_c0_g1" 1786.71566280056 -2.29621814619674 0.220243194994189 -10.4258301658642 1.89001547372131e-25 8.19888712500303e-22 "TRINITY_DN1004_c0_g1"
"TRINITY_DN1005_c0_g1" 17216.7865654743 -2.06068810953528 0.333052323584325 -6.18728038693157 6.12110347963932e-10 8.17026058297704e-08 "TRINITY_DN1005_c0_g1"
"TRINITY_DN10057_c0_g1" 16.1763842997525 -2.72000770060308 0.901737844179232 -3.01640628499833 0.00255790272760448 0.0242001885607263 "TRINITY_DN10057_c0_g1"
"TRINITY_DN1013_c0_g1" 58.8694442620702 -2.01750804747096 0.415409693404459 -4.85667060615901 1.1937593043413e-06 6.20878079734888e-05 "TRINITY_DN1013_c0_g1"
"TRINITY_DN10136_c0_g1" 27.5447397396983 -4.63066173918525 1.07040048594085 -4.3261020524622 1.51771128408707e-05 0.000496268709826863 "TRINITY_DN10136_c0_g1"
"TRINITY_DN10148_c0_g1" 22.0875015879126 -2.81246782553504 0.901220673050256 -3.12073159175988 0.00180402382221738 0.0189106452052654 "TRINITY_DN10148_c0_g1"
"TRINITY_DN10255_c0_g4" 83.3398798321547 -3.36097950259117 0.543467673795328 -6.18432275671455 6.23696445240936e-10 8.28243422282198e-08 "TRINITY_DN10255_c0_g4"
"TRINITY_DN10259_c0_g1" 4.58486691684025 -4.1369764760457 1.30591323866505 -3.1678800348748 0.00153554869409784 0.0167810129861683 "TRINITY_DN10259_c0_g1"
"TRINITY_DN1027_c0_g3" 55.1851386557265 -2.30816845526447 0.529828092090573 -4.35644785492025 1.3219016670827e-05 0.000449170451577397 "TRINITY_DN1027_c0_g3"
"TRINITY_DN10277_c0_g1" 10.9156813821021 -3.84021484593261 1.41518324476761 -2.71358134017706 0.00665602255176704 0.0475466956983451 "TRINITY_DN10277_c0_g1"
"TRINITY_DN10314_c0_g1" 12.4603087933568 -2.13366506343196 0.695618015276521 -3.0672941421504 0.0021600618617391 0.0215327805964555 "TRINITY_DN10314_c0_g1"
"TRINITY_DN10356_c0_g2" 207.751609780474 -3.27872459790759 1.15120823169094 -2.84807257944262 0.00439848921654417 0.0355910872576445 "TRINITY_DN10356_c0_g2"
"TRINITY_DN10363_c0_g2" 20.7369061060155 -3.75536933991401 1.18629901031128 -3.16561786469722 0.00154753950986495 0.0168433171573793 "TRINITY_DN10363_c0_g2"
