"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","trin_geneid"
"TRINITY_DN0_c0_g1",1926.59207286522,-0.0551947106258587,0.177923690924587,-0.310215634236438,0.756396982198491,1,"TRINITY_DN0_c0_g1"
"TRINITY_DN0_c0_g2",39.5617683026246,1.11030253498133,0.542444617096456,2.04684957687377,0.0406728561996427,0.508724235752059,"TRINITY_DN0_c0_g2"
"TRINITY_DN0_c1_g1",81.9470821047273,-0.379003028456815,1.32946546580283,-0.285079257946686,0.775583420747001,1,"TRINITY_DN0_c1_g1"
"TRINITY_DN1_c0_g1",6351.55016843353,0.202038726747769,0.250676003178449,0.805975538886916,0.420256953476646,0.996334365727105,"TRINITY_DN1_c0_g1"
"TRINITY_DN1_c0_g2",90.0668093216924,-0.191195719201284,0.744785711620646,-0.256712388836306,0.797400807074534,1,"TRINITY_DN1_c0_g2"
"TRINITY_DN1_c0_g3",697.762198773779,-0.0853750224249189,0.254559088522238,-0.335383909961874,0.73733550382215,1,"TRINITY_DN1_c0_g3"
"TRINITY_DN1_c1_g2",503.203106346797,-0.231632537501784,0.574542417092225,-0.403160028939347,0.686830502414278,1,"TRINITY_DN1_c1_g2"
"TRINITY_DN1_c1_g3",24.7854419812591,0.175890786879636,0.835133923403987,0.210613869165689,0.833188589034231,1,"TRINITY_DN1_c1_g3"
"TRINITY_DN1_c2_g1",71.821752500034,0.143046602331164,0.589290910754535,0.242743608836603,0.808204022634745,1,"TRINITY_DN1_c2_g1"
"TRINITY_DN1_c2_g2",95.7611607875118,-0.489953811766944,0.510817794529126,-0.959155724437097,0.33748030146266,0.969894857933358,"TRINITY_DN1_c2_g2"
"TRINITY_DN1_c2_g3",42.7582326855096,0.0746891908628653,0.357152016822368,0.209124370981818,0.834351150009663,1,"TRINITY_DN1_c2_g3"
"TRINITY_DN1_c2_g5",38.5833552310439,0.402384966068682,0.767811796108688,0.524067184312603,0.600231811897591,1,"TRINITY_DN1_c2_g5"
"TRINITY_DN1_c3_g1",9.08238278701569,-0.480558986566371,0.476321243754598,-1.00889681673311,0.313024122022006,0.954370804788414,"TRINITY_DN1_c3_g1"
"TRINITY_DN10_c0_g1",243.072679177308,-0.14715805135756,0.389889809994485,-0.377434976717245,0.705850377988613,1,"TRINITY_DN10_c0_g1"
"TRINITY_DN10_c0_g2",185.928327399085,0.364934444295993,0.433557322362231,0.841721326046698,0.399943958198248,0.989922313722108,"TRINITY_DN10_c0_g2"
"TRINITY_DN100_c0_g1",2640.98460626933,0.424174783896506,0.276304427562768,1.53517186690809,0.12474161687894,0.748575503157948,"TRINITY_DN100_c0_g1"
"TRINITY_DN1000_c0_g1",227.627639332479,-0.218649536363884,0.247692757174909,-0.882744973481338,0.377374077149016,0.979900727268993,"TRINITY_DN1000_c0_g1"
"TRINITY_DN10000_c0_g1",277.693826767828,-0.287232222052221,0.460636950877336,-0.623554453252512,0.532920230516672,1,"TRINITY_DN10000_c0_g1"
"TRINITY_DN10000_c0_g2",12.7326312110634,0.852819783246099,0.838515127620702,1.01705950811643,0.309125121351043,0.94924211283296,"TRINITY_DN10000_c0_g2"
"TRINITY_DN10001_c0_g1",43.1466019195054,0.432702355179179,0.390803524998139,1.10721200680377,0.268202277579791,0.924245674090203,"TRINITY_DN10001_c0_g1"
"TRINITY_DN10005_c0_g1",11.906781848139,0.121105962708183,1.66415955349571,0.072773047784865,0.941986718825303,1,"TRINITY_DN10005_c0_g1"
"TRINITY_DN10007_c0_g1",395.733941521869,-0.205881424205024,0.256537913752698,-0.802537999913311,0.42224181628706,0.996334365727105,"TRINITY_DN10007_c0_g1"
"TRINITY_DN10008_c0_g1",439.480247749337,-0.406604691739304,0.294950044154234,-1.37855443590537,0.168032173146156,0.821602122614947,"TRINITY_DN10008_c0_g1"
"TRINITY_DN1001_c0_g1",3592.56671310784,-0.308405065407185,0.142321931273624,-2.16695390968419,0.0302383686904417,0.460945606290926,"TRINITY_DN1001_c0_g1"
"TRINITY_DN10010_c0_g1",100.142095426769,0.198600789693905,0.379541028501456,0.523265667688265,0.600789389158562,1,"TRINITY_DN10010_c0_g1"
"TRINITY_DN10015_c0_g1",34.2941738471237,-1.4121961547084,0.962621978093636,-1.46703086657662,0.142367658843388,0.78448923593662,"TRINITY_DN10015_c0_g1"
"TRINITY_DN10015_c0_g2",150.432502101434,-0.525338322877275,0.494643377191658,-1.06205469859899,0.288210854123482,0.940822463334547,"TRINITY_DN10015_c0_g2"
"TRINITY_DN10016_c0_g1",128.72196715996,-0.176737915350532,0.381255103920047,-0.463568653988685,0.642956816707052,1,"TRINITY_DN10016_c0_g1"
"TRINITY_DN10018_c0_g1",10.4504060073015,0.885781041612837,0.997583340775225,0.887926858245742,0.374580096296465,0.979230282619862,"TRINITY_DN10018_c0_g1"
"TRINITY_DN10019_c0_g1",137.920973995247,-0.137983492396458,0.44197388892319,-0.312198290113101,0.754889831504701,1,"TRINITY_DN10019_c0_g1"
"TRINITY_DN1002_c0_g1",94.9744704653059,0.231046166211717,0.278457003816712,0.829737313283014,0.406687320017332,0.992462144390121,"TRINITY_DN1002_c0_g1"
"TRINITY_DN1002_c0_g2",869.214999705318,0.0992754004787829,0.235925183859899,0.420791875011259,0.67390706517869,1,"TRINITY_DN1002_c0_g2"
"TRINITY_DN1002_c0_g4",55.4700127243551,0.110354317674747,0.537477683193984,0.205318883230577,0.837322991640923,1,"TRINITY_DN1002_c0_g4"
"TRINITY_DN1002_c0_g5",1079.86169618943,-0.1929773468628,0.359859687606958,-0.536257195536646,0.591780809286375,1,"TRINITY_DN1002_c0_g5"
"TRINITY_DN1002_c1_g1",1878.32024172395,0.18997211014498,0.484878346516624,0.391793346743041,0.695210911394744,1,"TRINITY_DN1002_c1_g1"
"TRINITY_DN1002_c2_g1",30.787618413203,0.185382432745541,0.389406544065831,0.476063989089512,0.634028791111773,1,"TRINITY_DN1002_c2_g1"
"TRINITY_DN1002_c2_g2",11.3295746062549,0.0472627356790738,0.619106409066355,0.0763402461789217,0.939148407426579,1,"TRINITY_DN1002_c2_g2"
"TRINITY_DN1002_c21_g1",13.5443728132889,0.406848524527343,0.680627326582191,0.597755201176474,0.550003286583588,1,"TRINITY_DN1002_c21_g1"
"TRINITY_DN1002_c3_g1",29.1489540994221,-0.485079529432692,0.356018187110242,-1.36251334059652,0.173035936906453,0.831346371012873,"TRINITY_DN1002_c3_g1"
"TRINITY_DN1002_c4_g1",10.5709953164198,0.612815281580281,0.70516016783167,0.869044097406487,0.384823011527304,0.982124422400423,"TRINITY_DN1002_c4_g1"
"TRINITY_DN1002_c6_g1",9.8522380318484,0.798338481613692,0.604161544226209,1.32139903514743,0.186368347600529,0.851181673856663,"TRINITY_DN1002_c6_g1"
"TRINITY_DN10020_c0_g1",32.8228679288919,-0.267887234257628,0.441654968947435,-0.606553198973543,0.544147467255238,1,"TRINITY_DN10020_c0_g1"
"TRINITY_DN10021_c0_g1",509.083519396638,-0.137053892229823,0.234099214366983,-0.585452166511639,0.558243720820314,1,"TRINITY_DN10021_c0_g1"
"TRINITY_DN10024_c0_g1",9.89493403199447,0.229980827609046,0.852939145704431,0.269633336407731,0.787442351147488,1,"TRINITY_DN10024_c0_g1"
"TRINITY_DN10027_c0_g1",76.1380566399562,0.127056161749857,0.213356745031938,0.595510405498724,0.551502345715684,1,"TRINITY_DN10027_c0_g1"
"TRINITY_DN10029_c0_g1",404.228265534524,0.157396242163314,0.428577925546371,0.367252330979619,0.713430807795294,1,"TRINITY_DN10029_c0_g1"
"TRINITY_DN1003_c0_g1",446.955138500891,0.28180555307448,0.468140310473583,0.601968142391751,0.547195343571782,1,"TRINITY_DN1003_c0_g1"
"TRINITY_DN1003_c0_g2",274.866309336725,-0.359904182443023,0.231489941937675,-1.55472924408924,0.120010566692255,0.737515807100916,"TRINITY_DN1003_c0_g2"
"TRINITY_DN10030_c0_g1",16.6788522478775,-0.981492999522791,1.0876907904764,-0.902363988108149,0.366863544483013,0.976700236037847,"TRINITY_DN10030_c0_g1"
"TRINITY_DN10031_c0_g1",1220.14865063428,-0.133363828299784,0.202459698542653,-0.658717904154576,0.510076933616159,1,"TRINITY_DN10031_c0_g1"
"TRINITY_DN10032_c0_g1",60.7996938080559,0.36660715795516,0.209716927897118,1.74810475068092,0.0804458905256559,0.650162706194177,"TRINITY_DN10032_c0_g1"
"TRINITY_DN10033_c0_g1",413.860033696643,0.0847636008008639,0.645931009345442,0.131227018945506,0.895595722744345,1,"TRINITY_DN10033_c0_g1"
"TRINITY_DN10034_c0_g1",12.7492003298642,0.230043374153546,0.394986010059309,0.582408916505687,0.56029127701044,1,"TRINITY_DN10034_c0_g1"
"TRINITY_DN10035_c0_g1",12.9858535375384,0,4.01138635433646,0,1,1,"TRINITY_DN10035_c0_g1"
"TRINITY_DN10036_c0_g1",66.590010468186,-0.148451282632655,0.435888972855704,-0.340571319480931,0.733426323704291,1,"TRINITY_DN10036_c0_g1"
"TRINITY_DN10037_c0_g1",62.5981468880334,0.379483191290325,0.478523033765366,0.793030145914347,0.427760259303763,0.997354119512576,"TRINITY_DN10037_c0_g1"
"TRINITY_DN1004_c0_g1",1796.88251345802,-0.388159775782881,0.221051054908595,-1.75597341502571,0.0790929480312687,0.64588797094007,"TRINITY_DN1004_c0_g1"
"TRINITY_DN10040_c0_g1",10814.3170286366,0.5347253912972,1.05546386426907,0.506625957931312,0.612417291307848,1,"TRINITY_DN10040_c0_g1"
"TRINITY_DN10041_c0_g1",154.935137946833,-0.12415401785632,0.275498371253344,-0.450652456823964,0.652240053113023,1,"TRINITY_DN10041_c0_g1"
"TRINITY_DN10042_c0_g1",91.9941378131198,0.249096100246953,0.345630083850858,0.720701443206662,0.471093224283143,1,"TRINITY_DN10042_c0_g1"
"TRINITY_DN10043_c0_g1",289.076667968451,0.168685902655465,0.365295560158488,0.461779230446379,0.644239646583604,1,"TRINITY_DN10043_c0_g1"
"TRINITY_DN10045_c0_g1",586.506409870793,0.0177121548144771,0.311725332228627,0.0568197479744334,0.954688782741456,1,"TRINITY_DN10045_c0_g1"
"TRINITY_DN10046_c0_g1",152.117767991303,0.443479678380074,0.303907006480948,1.45926111910117,0.144493252396742,0.788969331070551,"TRINITY_DN10046_c0_g1"
