"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","trin_geneid"
"TRINITY_DN0_c0_g1",1926.59207286522,-0.459331010488484,0.181678734347552,-2.52825963444781,0.0114629547501804,0.069446130253513,"TRINITY_DN0_c0_g1"
"TRINITY_DN0_c0_g2",39.5617683026246,0.391155388589733,0.596530278702416,0.655717576382848,0.512005857733187,0.788076910394456,"TRINITY_DN0_c0_g2"
"TRINITY_DN0_c1_g1",81.9470821047273,0.208313156799923,1.30602568554436,0.159501577270355,0.873273715744574,1,"TRINITY_DN0_c1_g1"
"TRINITY_DN1_c0_g1",6351.55016843353,-0.510126097395496,0.251032840274988,-2.03210901345294,0.0421426211105386,0.168432656215504,"TRINITY_DN1_c0_g1"
"TRINITY_DN1_c0_g2",90.0668093216924,0.471593755827097,1.02130038696383,0.461758128995792,0.644254780453583,0.895712199950711,"TRINITY_DN1_c0_g2"
"TRINITY_DN1_c0_g3",697.762198773779,0.153303316559584,0.259950701892848,0.589739960089722,0.555365000500034,0.826078479559055,"TRINITY_DN1_c0_g3"
"TRINITY_DN1_c1_g2",503.203106346797,1.50096737011084,0.584434857462668,2.56823724824921,0.0102217170836946,0.0642154040437834,"TRINITY_DN1_c1_g2"
"TRINITY_DN1_c1_g3",24.7854419812591,0.141237107753418,0.580230112997879,0.243415680416322,0.807683397836644,1,"TRINITY_DN1_c1_g3"
"TRINITY_DN1_c2_g1",71.821752500034,-0.0880703328548139,0.625433712983454,-0.140814815425762,0.888016238673027,1,"TRINITY_DN1_c2_g1"
"TRINITY_DN1_c2_g2",95.7611607875118,0.438290477314382,0.539086369058274,0.813024595817601,0.416203956533885,0.697932692101731,"TRINITY_DN1_c2_g2"
"TRINITY_DN1_c2_g3",42.7582326855096,-0.102038009769207,0.410747406309718,-0.248420338635727,0.803809198743666,1,"TRINITY_DN1_c2_g3"
"TRINITY_DN1_c2_g5",38.5833552310439,-2.45326350451301,0.828962666334786,-2.95943786631548,0.00308200844950779,0.027557006500754,"TRINITY_DN1_c2_g5"
"TRINITY_DN1_c3_g1",9.08238278701569,1.65776207830034,0.942975378248246,1.75801205051604,0.0787454589432916,0.253556425704102,"TRINITY_DN1_c3_g1"
"TRINITY_DN10_c0_g1",243.072679177308,0.199170579015309,0.43847764159029,0.454232006660473,0.649661848462677,0.899550664567697,"TRINITY_DN10_c0_g1"
"TRINITY_DN10_c0_g2",185.928327399085,-1.89092027065204,0.437775255132969,-4.31938591430366,1.56463967722188e-05,0.000522150169525945,"TRINITY_DN10_c0_g2"
