"momID","trial_num","fishID","col_location","col_month","lat_to_trial","weight","length","depth","svl","MatingSuccess","NumDeveloped","NumUndeveloped","totalEggs","mated","relative_fit"
"FL12F1",12,1,"TBML","november",13,3.6,189.603,6.972,87.644,0,0,0,0,0,0
"FL12F2",12,2,"TBML","november",13,4.6,195.714,7.464,83.414,0,0,0,0,0,0
"FL12F3",12,3,"TBML","november",13,4.5,190.545,7.709,88.796,1,204,32,236,1,2.17547325102881
"FL12F4",12,4,"TBML","november",13,5.6,201.046,8.654,92.544,0,0,0,0,0,0
"FL12F5",12,5,"TBML","november",13,3.1,170.164,6.707,80.435,1,173,66,239,1,2.20312757201646
"FL12F6",12,6,"TBML","november",13,2,164.242,5.179,71.73,0,0,0,0,0,0
"FL12F7",12,7,"TBML","november",13,2,154.88,4.843,67.778,0,0,0,0,0,0
"FL12F8",12,8,"TBML","november",13,2.2,167.522,5.655,73.457,0,0,0,0,0,0
"FL2F1",2,1,"TBML","october",12,4.8,199.032,7.376,88.812,0,0,0,0,0,0
"FL2F2",2,2,"TBML","october",12,2.4,169.335,5.32,76.236,0,0,0,0,0,0
"FL2F3",2,3,"TBML","october",12,5.3,209.808,8.059,103.071,0,0,0,0,0,0
"FL2F4",2,4,"TBML","september",19,3.1,171.947,6.569,77.543,0,0,0,0,0,0
"FL2F5",2,5,"TBML","september",19,1.7,147.601,4.996,63.396,1,131,28,159,1,1.46567901234568
"FL2F6",2,6,"TBML","september",19,1.9,152.714,4.68,70.134,0,0,0,0,0,0
"FL2F7",2,7,"TBML","september",19,3.5,184.933,6.452,85.602,1,122,48,170,1,1.56707818930041
"FL2F8",2,8,"TBML","september",19,2.7,175.575,6.269,78.212,2,163,41,204,1,1.88049382716049
"FL3F1",3,1,"TBML","october",19,5.6,203.611,8.484,95.139,1,85,3,88,1,0.81119341563786
"FL3F2",3,2,"TBML","october",12,3.4,181.831,8.033,86.401,3,731,31,762,1,7.0241975308642
"FL3F3",3,3,"TBML","october",5,1.2,142.32,3.914,63.24,1,154,131,285,1,2.62716049382716
"FL3F4",3,4,"TBML","october",5,4,181.386,8.575,85.176,3,785,131,916,1,8.44378600823045
"FL3F5",3,5,"TBML","october",5,3.3,162.618,6.991,76.801,2,350,17,367,1,3.38304526748971
