"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj" "trin_geneid"
"TRINITY_DN10733_c0_g1" 87.9622779154637 -5.75668835109121 1.29570392125073 -4.44290416712973 8.87527030774127e-06 0.0113755883059591 "TRINITY_DN10733_c0_g1"
"TRINITY_DN130040_c0_g1" 9.32027200103163 -21.4308779848831 3.60938478835183 -5.93754316637134 2.89324882983474e-09 2.13228822197783e-05 "TRINITY_DN130040_c0_g1"
"TRINITY_DN1322_c1_g1" 1577.23533009643 -3.41212846991918 0.866639985166183 -3.9371925232193 8.24404641058862e-05 0.0476530129727348 "TRINITY_DN1322_c1_g1"
"TRINITY_DN19595_c0_g1" 4.58606022039234 -6.3065983298804 1.45883932529036 -4.32302462687256 1.53904546359042e-05 0.0159625596530244 "TRINITY_DN19595_c0_g1"
"TRINITY_DN20236_c0_g1" 7.31676095312982 -22.3180805357524 4.98528889988142 -4.47678780186305 7.57744968257693e-06 0.0101536103598876 "TRINITY_DN20236_c0_g1"
"TRINITY_DN2143_c2_g1" 53.4854518628537 -3.52504807423797 0.884151387208969 -3.98692817229593 6.69342783892075e-05 0.0433667925225196 "TRINITY_DN2143_c2_g1"
"TRINITY_DN23319_c0_g1" 157.535458270057 -17.3425186730684 3.13154677648863 -5.53800403151389 3.05938221279406e-08 0.000128841511345804 "TRINITY_DN23319_c0_g1"
"TRINITY_DN29832_c2_g1" 9.81074777631368 -17.5987367356721 3.07393092073103 -5.7251568722588 1.03338207609331e-08 5.53883398403504e-05 "TRINITY_DN29832_c2_g1"
"TRINITY_DN34109_c0_g1" 4.68111772253767 -7.0634167566001 1.69192358832909 -4.17478472746857 2.98267964548273e-05 0.0225456165664123 "TRINITY_DN34109_c0_g1"
"TRINITY_DN34883_c0_g1" 3.07015299125205 -5.08591530272456 1.22321470417301 -4.15782714626788 3.21288978026824e-05 0.0239783251335234 "TRINITY_DN34883_c0_g1"
"TRINITY_DN41006_c0_g1" 15.7509874589424 -24.8813469001749 5.29087663967967 -4.70268891048675 2.56757472049096e-06 0.00473067618579458 "TRINITY_DN41006_c0_g1"
"TRINITY_DN523_c0_g1" 2472.83268391829 -3.68014160048093 0.87755716016892 -4.1936203902348 2.74537265483388e-05 0.0220886686199191 "TRINITY_DN523_c0_g1"
"TRINITY_DN54935_c0_g1" 13.0568619760427 -3.9358943400476 0.987128097585432 -3.98721741349984 6.68527582410832e-05 0.0433667925225196 "TRINITY_DN54935_c0_g1"
"TRINITY_DN62673_c0_g1" 45.4487401857263 -9.53119896610146 2.0422835097726 -4.66693234337614 3.05729944283629e-06 0.00546228235909652 "TRINITY_DN62673_c0_g1"
"TRINITY_DN6406_c4_g1" 37.3615974044121 -17.8677485580757 3.42953024704574 -5.20996966668171 1.88871507935571e-07 0.000618648624242962 "TRINITY_DN6406_c4_g1"
"TRINITY_DN6584_c1_g1" 288.801018020094 -3.41079922545127 0.815724848458918 -4.18131093087947 2.89833200368485e-05 0.0225456165664123 "TRINITY_DN6584_c1_g1"
"TRINITY_DN7367_c0_g1" 156.973357627997 -3.30925540730581 0.720979735727456 -4.58994232891557 4.4336849264023e-06 0.00670270845066034 "TRINITY_DN7367_c0_g1"
"TRINITY_DN7636_c0_g1" 140.511785662341 -2.33020873330486 0.555949824378017 -4.19140115011609 2.7723697448634e-05 0.0220886686199191 "TRINITY_DN7636_c0_g1"
"TRINITY_DN7731_c0_g1" 78.27461637572 -3.68582956021963 0.864274198391908 -4.2646530083596 2.00213103645966e-05 0.0187370863140674 "TRINITY_DN7731_c0_g1"
"TRINITY_DN7731_c0_g2" 177.067162051222 -2.85267174077843 0.656618663436481 -4.34448775161016 1.39601031914679e-05 0.0152421060012177 "TRINITY_DN7731_c0_g2"
"TRINITY_DN82517_c0_g1" 5.34938335019487 -5.04649205325594 1.13204671994832 -4.45784786469444 8.27866218750713e-06 0.0108467031980718 "TRINITY_DN82517_c0_g1"
