"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj" "trin_geneid"
"TRINITY_DN124283_c0_g1" 19.4820893897254 18.7280727170769 4.09325040548761 4.57535475766866 4.75413695233659e-06 0.00948395466564778 "TRINITY_DN124283_c0_g1"
"TRINITY_DN14249_c0_g1" 60.8695597201467 15.1771798479842 3.06648524923052 4.94937317953597 7.44528720632574e-07 0.00242497889326648 "TRINITY_DN14249_c0_g1"
"TRINITY_DN150248_c3_g2" 3214.35371052558 8.06483392872235 1.81580537866931 4.441463839386 8.93489633350739e-06 0.0149492344558073 "TRINITY_DN150248_c3_g2"
"TRINITY_DN153543_c0_g1" 2867.5509391252 13.0976890081944 3.09370594280676 4.23365673736642 2.29921805402518e-05 0.0277806705936506 "TRINITY_DN153543_c0_g1"
"TRINITY_DN18961_c0_g1" 867.357314591951 3.40279493278464 0.502728231191139 6.7686569435781 1.29983338504137e-11 1.68546145454852e-07 "TRINITY_DN18961_c0_g1"
"TRINITY_DN20240_c0_g1" 16.5732227487286 5.8389291116818 1.41322698339121 4.13162866284266 3.60201981314612e-05 0.036632541499696 "TRINITY_DN20240_c0_g1"
"TRINITY_DN21683_c0_g2" 28.0178289400345 22.7589177207086 5.49344477973348 4.14292281678543 3.42907375572887e-05 0.0355711536976778 "TRINITY_DN21683_c0_g2"
"TRINITY_DN23295_c0_g1" 51.7856101785463 17.5441856460427 3.76381054489807 4.66128287722247 3.1424446364279e-06 0.00703270534489253 "TRINITY_DN23295_c0_g1"
"TRINITY_DN25708_c0_g1" 11.1134555115264 18.5226322511442 3.13998110955447 5.89896295706454 3.65793340180183e-09 2.3715753968907e-05 "TRINITY_DN25708_c0_g1"
"TRINITY_DN2766_c1_g2" 18.7046933434522 17.4617119735293 2.59679191024762 6.72434010003682 1.76390000769732e-11 1.82976403398474e-07 "TRINITY_DN2766_c1_g2"
"TRINITY_DN33185_c0_g1" 46.531573324394 14.1141635566392 3.34410650164385 4.22060827001207 2.43644002764764e-05 0.0280824077586667 "TRINITY_DN33185_c0_g1"
"TRINITY_DN3429_c0_g1" 204.266595119343 6.00031179741519 1.26310705252931 4.75043804513628 2.02976476381741e-06 0.00526389045024589 "TRINITY_DN3429_c0_g1"
"TRINITY_DN3448_c0_g1" 6395.09827597341 2.46723135419421 0.580919201808961 4.24711620223835 2.16539664493352e-05 0.0276919801569551 "TRINITY_DN3448_c0_g1"
"TRINITY_DN3527_c1_g2" 343.006700624719 3.69681141254182 0.508719445838049 7.26689620926875 3.67841209916006e-13 1.90788200347135e-08 "TRINITY_DN3527_c1_g2"
"TRINITY_DN5095_c0_g1" 18.2652147644136 16.0397739998203 2.26163589185925 7.0921115364128 1.32080989314955e-12 3.42532233639939e-08 "TRINITY_DN5095_c0_g1"
"TRINITY_DN5251_c5_g1" 16.0374069039778 4.54184691790834 1.06563029244535 4.26212256737369 2.02494321569594e-05 0.0276388762548687 "TRINITY_DN5251_c5_g1"
"TRINITY_DN59905_c0_g1" 4.68160668012766 6.47802693165329 1.60464464606628 4.03704767129213 5.41280730638074e-05 0.049253697642114 "TRINITY_DN59905_c0_g1"
"TRINITY_DN7657_c1_g2" 386.876381889101 6.5645687848563 1.28637551417982 5.1031512280003 3.34043850633352e-07 0.00133275787698462 "TRINITY_DN7657_c1_g2"
"TRINITY_DN7686_c1_g1" 13.4860107051764 3.24759056070649 0.767793410865916 4.22977133529169 2.33928971506615e-05 0.0277806705936506 "TRINITY_DN7686_c1_g1"
"TRINITY_DN8441_c0_g1" 24.7386431505802 6.12202896103809 0.970800905781346 6.30616321490841 2.86037401375192e-10 2.47265031618785e-06 "TRINITY_DN8441_c0_g1"
"TRINITY_DN8441_c0_g2" 5.72683130343424 6.10928441527981 1.31055199067946 4.66161164053662 3.13742801428142e-06 0.00703270534489253 "TRINITY_DN8441_c0_g2"
"TRINITY_DN86_c0_g3" 126.503678179616 2.22428284047612 0.498735420116544 4.45984534235878 8.20188166120934e-06 0.0141802332040648 "TRINITY_DN86_c0_g3"
"TRINITY_DN88077_c0_g1" 767.846434417505 13.4924074446746 2.78554793060411 4.84371756681581 1.27432039485593e-06 0.00369291527403132 "TRINITY_DN88077_c0_g1"
"TRINITY_DN9421_c0_g1" 185.806716071624 4.56839886026776 1.02237011872967 4.46843934165852 7.87923485890959e-06 0.0140921473940367 "TRINITY_DN9421_c0_g1"
"TRINITY_DN9455_c2_g1" 249.645544756912 2.80593913427578 0.487617160618169 5.75438963370073 8.69553914984902e-09 5.01123921205799e-05 "TRINITY_DN9455_c2_g1"
"TRINITY_DN9881_c0_g1" 70.1333619979659 3.00430974940707 0.620393548707408 4.8425870250691 1.28159475066157e-06 0.00369291527403132 "TRINITY_DN9881_c0_g1"
"TRINITY_DN9975_c0_g1" 17.0479239446384 3.82799703381278 0.647181985284224 5.91486957433099 3.32138664977491e-09 2.3715753968907e-05 "TRINITY_DN9975_c0_g1"
