"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj" "trin_geneid"
"TRINITY_DN10_c0_g2" 145.845067028103 -4.23676294716613 0.663225897597513 -6.38811446071918 1.67943617903561e-10 3.36046280496004e-09 "TRINITY_DN10_c0_g2"
"TRINITY_DN10000_c0_g2" 233.354495860931 -2.95217621848402 0.283168117060049 -10.4255247700008 1.89609735839423e-25 1.60155993996427e-23 "TRINITY_DN10000_c0_g2"
"TRINITY_DN10004_c0_g2" 188.90273189832 -3.25363083105486 0.432279109330107 -7.52668995755298 5.20427468468938e-14 1.55031132617894e-12 "TRINITY_DN10004_c0_g2"
"TRINITY_DN10010_c0_g1" 531.260207776786 -2.93142972937302 0.247563087952501 -11.8411422058827 2.39173259557926e-32 3.45117291051861e-30 "TRINITY_DN10010_c0_g1"
"TRINITY_DN10021_c0_g1" 23.6835859227886 -2.11609061599444 0.597483112101041 -3.54167435553657 0.00039759599361982 0.00275889152129252 "TRINITY_DN10021_c0_g1"
"TRINITY_DN10032_c0_g1" 31.872583702253 -6.02532984291428 0.908340654144956 -6.6333371906447 3.28180930524695e-11 7.15387672233419e-10 "TRINITY_DN10032_c0_g1"
"TRINITY_DN10047_c0_g1" 4.11652022510829 -3.21881257907125 0.879568106208138 -3.65953762574192 0.000252670743304656 0.00184587055945205 "TRINITY_DN10047_c0_g1"
"TRINITY_DN1005_c0_g1" 1169.53602224533 -3.11864606563871 0.232484154078213 -13.4144457199846 4.97639780022618e-41 1.30270057105508e-38 "TRINITY_DN1005_c0_g1"
"TRINITY_DN1005_c3_g1" 1837.84297444456 -2.40513776251128 0.22689049918737 -10.6004340028583 2.96600571865711e-26 2.68033889495998e-24 "TRINITY_DN1005_c3_g1"
"TRINITY_DN10059_c0_g1" 35.0060471080325 -3.09255725316864 0.550896445429267 -5.613681625335 1.98066495711396e-08 2.99230796091602e-07 "TRINITY_DN10059_c0_g1"
"TRINITY_DN10060_c0_g1" 379.92175125084 -2.48651098198996 0.26404746666196 -9.41690906344975 4.64562224968573e-21 2.69452163190596e-19 "TRINITY_DN10060_c0_g1"
"TRINITY_DN10066_c1_g1" 145.520424094316 -4.8671756161652 1.18700415988065 -4.10038631764743 4.12461017094328e-05 0.000359342387384497 "TRINITY_DN10066_c1_g1"
"TRINITY_DN10084_c0_g1" 95.3419783106959 -4.04375166421984 1.21064663186206 -3.34015852173171 0.000837305812775292 0.00532122272163524 "TRINITY_DN10084_c0_g1"
"TRINITY_DN10088_c0_g1" 162.375403714862 -2.5690445694375 0.597360209206765 -4.30066236391763 1.70288349264597e-05 0.000159760320228764 "TRINITY_DN10088_c0_g1"
"TRINITY_DN10090_c0_g1" 29.9453616368561 -5.25323681819872 1.83195818154817 -2.86755280284796 0.00413659770952515 0.0213235330689056 "TRINITY_DN10090_c0_g1"
"TRINITY_DN10094_c0_g1" 470.347486119267 -2.59720214803675 0.519310262211239 -5.00125327194149 5.69588268555252e-07 6.94113075013717e-06 "TRINITY_DN10094_c0_g1"
"TRINITY_DN10095_c0_g1" 908.180475782915 -2.86646123281788 0.296784022082089 -9.65840820104874 4.52845424407223e-22 2.84807998956384e-20 "TRINITY_DN10095_c0_g1"
"TRINITY_DN10097_c0_g1" 262.373082959809 -2.97080973920664 0.408672775526298 -7.26940945694452 3.61062434884303e-13 9.79859406620880e-12 "TRINITY_DN10097_c0_g1"
"TRINITY_DN10103_c1_g1" 102.906560577476 -2.09194217684467 0.627076803434644 -3.33602226296144 0.000849863576824164 0.0053954115384269 "TRINITY_DN10103_c1_g1"
"TRINITY_DN10110_c0_g1" 297.293202976546 -2.35629209329439 0.247418230605408 -9.5235184874161 1.67412716716848e-21 1.00382022343828e-19 "TRINITY_DN10110_c0_g1"
"TRINITY_DN1012_c0_g1" 803.349700178529 -2.2893518143443 0.360648309800648 -6.34787895057589 2.18303741543425e-10 4.30026873075398e-09 "TRINITY_DN1012_c0_g1"
"TRINITY_DN101214_c0_g1" 10.3956306077253 -2.03084015096027 0.635687734995034 -3.19471344051673 0.00139969742790915 0.00834813825845244 "TRINITY_DN101214_c0_g1"
