"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj" "trin_geneid"
"TRINITY_DN0_c1_g1" 9.13639933355524 2.00123780280431 0.78078396881549 2.56311333574169 0.0103738178884639 0.0463075124274678 "TRINITY_DN0_c1_g1"
"TRINITY_DN1000_c0_g1" 1715.69571963871 2.35131018297863 0.281838423876117 8.34275948126987 7.25766858590883e-17 2.85234732351958e-15 "TRINITY_DN1000_c0_g1"
"TRINITY_DN10004_c1_g2" 7.13860101388878 6.75936759060761 1.06100371140626 6.37072944980438 1.88131257054484e-10 3.7376214969809e-09 "TRINITY_DN10004_c1_g2"
"TRINITY_DN100062_c0_g1" 41.9224946453287 2.53995073852017 0.509010876030854 4.98997341338971 6.03876033231938e-07 7.33595714456792e-06 "TRINITY_DN100062_c0_g1"
"TRINITY_DN10012_c0_g1" 363.159796099497 3.36236931460756 0.343078125822204 9.80059368853515 1.11925842301942e-22 7.4289626758107e-21 "TRINITY_DN10012_c0_g1"
"TRINITY_DN100164_c0_g1" 16.1993235544249 6.12104489423841 1.09761137535795 5.57669593415268 2.45129787532646e-08 3.65724741177237e-07 "TRINITY_DN100164_c0_g1"
"TRINITY_DN100164_c0_g2" 2.43868245820119 5.91223830856148 1.54051348571498 3.8378361263209 0.000124123267678714 0.000975291926717237 "TRINITY_DN100164_c0_g2"
"TRINITY_DN10018_c0_g1" 203.353599012021 2.77962389232898 0.411313365834181 6.757922604075 1.39984267587713e-11 3.18035941481536e-10 "TRINITY_DN10018_c0_g1"
"TRINITY_DN100223_c1_g1" 5.68252711916842 3.6113116693448 1.41030503651136 2.5606599819554 0.0104473549616389 0.0465655034658846 "TRINITY_DN100223_c1_g1"
"TRINITY_DN100228_c1_g1" 1.14956115643787 3.83362136592773 1.34065688071806 2.85950970831137 0.00424296430858409 0.0217842268624249 "TRINITY_DN100228_c1_g1"
"TRINITY_DN10023_c2_g1" 2.68431055672375 6.88190943058184 1.57445214282738 4.37098673461322 1.23686308037107e-05 0.000119150785365056 "TRINITY_DN10023_c2_g1"
"TRINITY_DN10024_c0_g1" 375.925490518046 2.99725189565747 0.502989195229571 5.95887928425478 2.53973611763498e-09 4.33009149954204e-08 "TRINITY_DN10024_c0_g1"
"TRINITY_DN10026_c0_g1" 228.728783928455 3.35107332150667 0.564245992632962 5.93902901440103 2.86715125312774e-09 4.84826098523365e-08 "TRINITY_DN10026_c0_g1"
"TRINITY_DN10028_c11_g1" 12.1692379198145 3.04702382566721 0.81616666835057 3.73333529023561 0.000188960780825705 0.00142176780737163 "TRINITY_DN10028_c11_g1"
"TRINITY_DN1003_c1_g2" 7.72678044554678 2.75015394044749 0.758677345845869 3.6249322001058 0.000289037269703213 0.00208094640499777 "TRINITY_DN1003_c1_g2"
"TRINITY_DN1003_c1_g3" 51.2965399279718 3.45370121024479 0.731529573077788 4.72120518069272 2.34451279953421e-06 2.58102908890045e-05 "TRINITY_DN1003_c1_g3"
"TRINITY_DN10030_c0_g1" 67.9551673010682 3.78704495442289 0.726079238340277 5.2157460982903 1.83078810471893e-07 2.40835751540124e-06 "TRINITY_DN10030_c0_g1"
"TRINITY_DN100321_c0_g1" 22.944450486482 9.59543208537944 3.43525646406098 2.79322146272486 0.00521859503828894 0.0259998069216167 "TRINITY_DN100321_c0_g1"
"TRINITY_DN10033_c0_g2" 292.835915756342 3.11567422525123 0.619361050685432 5.03046522186564 4.89291138229201e-07 6.037357367733e-06 "TRINITY_DN10033_c0_g2"
"TRINITY_DN100339_c0_g1" 3.45080559069048 3.33079722625595 0.990386046327681 3.36313020423343 0.000770640070454959 0.00494777464421314 "TRINITY_DN100339_c0_g1"
"TRINITY_DN10037_c0_g2" 54.4255178134141 2.41129216422353 0.821645660702081 2.93471052005937 0.00333858994215935 0.0177664397125873 "TRINITY_DN10037_c0_g2"
"TRINITY_DN10039_c0_g1" 9.80803428593263 8.63597753607123 1.63246000752083 5.29016177810471 1.2220821558467e-07 1.64642499884846e-06 "TRINITY_DN10039_c0_g1"
"TRINITY_DN1004_c3_g2" 1.96066794022108 4.3347019637369 1.5430926397757 2.80910027823539 0.00496801694953766 0.024936185528047 "TRINITY_DN1004_c3_g2"
"TRINITY_DN10040_c0_g1" 4.49163672549175 3.4230542473008 1.15741119539298 2.95750919027405 0.00310135503798278 0.0166689145891023 "TRINITY_DN10040_c0_g1"
"TRINITY_DN10049_c0_g1" 156.353317060643 2.96756598124284 0.618193387553345 4.80038454145833 1.58361254651394e-06 1.79411393594714e-05 "TRINITY_DN10049_c0_g1"
"TRINITY_DN1005_c2_g1" 1613.04518292951 3.20974497444029 0.484930902420346 6.61897387528838 3.61700760558109e-11 7.85561646927256e-10 "TRINITY_DN1005_c2_g1"
"TRINITY_DN100502_c0_g1" 1.27625865022798 5.29047296863158 1.89281586408736 2.79502780434612 0.00518952516911771 0.0258782222161072 "TRINITY_DN100502_c0_g1"
"TRINITY_DN10054_c0_g1" 29.19547547544 3.83610642566803 1.0244783772198 3.74444840512723 0.000180790522530771 0.0013658938533611 "TRINITY_DN10054_c0_g1"
