"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj" "trin_geneid"
"TRINITY_DN10062_c0_g1" 534.670258618716 -6.86491884974605 1.71849449289365 -3.99472845454785 6.47684425118944e-05 0.00422725757118579 "TRINITY_DN10062_c0_g1"
"TRINITY_DN10064_c0_g1" 18.666737029914 -8.14013504273365 2.02679739313353 -4.0162549400898 5.913028931877e-05 0.00402474703427278 "TRINITY_DN10064_c0_g1"
"TRINITY_DN10107_c0_g1" 129.606987052254 -6.20755620314279 1.50251011460091 -4.13145718143244 3.60470843908524e-05 0.00286071777697215 "TRINITY_DN10107_c0_g1"
"TRINITY_DN10163_c0_g2" 182.674686892429 -4.41324363238521 1.32244821406604 -3.33717690072424 0.000846340612495836 0.02647787098019 "TRINITY_DN10163_c0_g2"
"TRINITY_DN102287_c0_g1" 8.54202001813633 -4.31817028506926 1.39770824822962 -3.08946469375049 0.00200517537562815 0.0473228889304262 "TRINITY_DN102287_c0_g1"
"TRINITY_DN102788_c0_g1" 14.9132222902633 -7.33565415876914 1.66031069935887 -4.41824181558415 9.95070542747472e-06 0.00106407896598038 "TRINITY_DN102788_c0_g1"
"TRINITY_DN10284_c0_g2" 20.3683148848865 -2.40634537749446 0.739573854141804 -3.2536917902361 0.00113915799775242 0.0326235251663178 "TRINITY_DN10284_c0_g2"
"TRINITY_DN10310_c0_g5" 10.4570428538858 -2.13758501319888 0.589333607174779 -3.62712220578478 0.000286597670285628 0.0125423755013439 "TRINITY_DN10310_c0_g5"
"TRINITY_DN10315_c1_g1" 129.940504427337 -2.68780577870847 0.794831905743045 -3.38160277574135 0.000720642693576397 0.0235935589696418 "TRINITY_DN10315_c1_g1"
"TRINITY_DN1032_c0_g1" 487.02984086611 -3.9909325656514 1.07141310387203 -3.72492416905148 0.000195373943086657 0.00963005288482473 "TRINITY_DN1032_c0_g1"
"TRINITY_DN103315_c1_g1" 7.74722361358207 -6.6280559418143 1.77698873647244 -3.72993694657394 0.000191527694417998 0.00946511863210616 "TRINITY_DN103315_c1_g1"
"TRINITY_DN10359_c0_g2" 192.178054087498 -5.44126310668418 1.14582258829724 -4.74878324293662 2.04644129670798e-06 0.000289059833160003 "TRINITY_DN10359_c0_g2"
"TRINITY_DN10432_c0_g1" 18.0477655060387 -6.27823796777166 1.70223315119062 -3.68823622274092 0.000225813960237589 0.0106150105973147 "TRINITY_DN10432_c0_g1"
"TRINITY_DN10452_c0_g2" 10.9115609480344 -4.00512761023786 1.22469388551105 -3.2703091422446 0.00107430009439134 0.0314035753460882 "TRINITY_DN10452_c0_g2"
"TRINITY_DN10469_c0_g1" 38.8252498008176 -2.43536137948527 0.717461540134774 -3.39441383719021 0.000687756779800247 0.0228778847973096 "TRINITY_DN10469_c0_g1"
"TRINITY_DN10539_c0_g2" 108.217427790617 -5.1155516885921 1.06798121234014 -4.78992666676504 1.66842276583473e-06 0.000242915937694899 "TRINITY_DN10539_c0_g2"
"TRINITY_DN10543_c1_g1" 199.841305870347 -4.31059089603233 1.08175530705192 -3.98481141523574 6.75337377640856e-05 0.00434038988634883 "TRINITY_DN10543_c1_g1"
"TRINITY_DN1060_c0_g1" 285.717328710264 -5.41138506356751 1.64797907798541 -3.28364912871511 0.00102472413465764 0.030376610898563 "TRINITY_DN1060_c0_g1"
"TRINITY_DN1060_c0_g2" 284.571597702469 -4.43425712147086 1.36117989187678 -3.25765694008083 0.00112336121848901 0.0323382805520163 "TRINITY_DN1060_c0_g2"
"TRINITY_DN10679_c3_g1" 16.5365578641813 -3.16220634036066 0.881997010340113 -3.58528011239092 0.000336716604614236 0.0137650184316111 "TRINITY_DN10679_c3_g1"
"TRINITY_DN1069_c10_g1" 312.577164575885 -4.91529007719442 0.884481643009263 -5.55725504994223 2.74050173950963e-08 7.85921919311643e-06 "TRINITY_DN1069_c10_g1"
"TRINITY_DN10699_c0_g1" 324.834949374576 -3.71174229488147 1.02455699236733 -3.62277776886296 0.00029145621244878 0.0126526088557896 "TRINITY_DN10699_c0_g1"
"TRINITY_DN10719_c1_g2" 23.7933244077433 -3.37379681733441 1.06954228942538 -3.15443049862666 0.00160811676428807 0.0412434011599763 "TRINITY_DN10719_c1_g2"
"TRINITY_DN10721_c0_g1" 8.95656499160207 -19.3406828369502 2.76223598561433 -7.00182132796622 2.52656167807269e-12 2.33275591032784e-09 "TRINITY_DN10721_c0_g1"
"TRINITY_DN10728_c0_g1" 1375.43836092614 -3.86340584913937 0.557379342844097 -6.93137608836715 4.16766418138479e-12 3.49716210952934e-09 "TRINITY_DN10728_c0_g1"
