"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj" "trin_geneid"
"TRINITY_DN10197_c0_g1" 73.7279632536 7.20642220660282 1.52343150547167 4.73038806189821 2.240910625101e-06 0.000313339232220182 "TRINITY_DN10197_c0_g1"
"TRINITY_DN10230_c0_g3" 445.826367683925 2.3894897594787 0.444080975047901 5.380752371166 7.41751704470086e-08 1.88449736729632e-05 "TRINITY_DN10230_c0_g3"
"TRINITY_DN10654_c0_g1" 45.2984325181876 4.77991612496348 1.05940225681541 4.51189913388708 6.42497423335557e-06 0.000748361229549769 "TRINITY_DN10654_c0_g1"
"TRINITY_DN10753_c0_g2" 75.077987325304 3.43413323117239 1.08600087012131 3.16218276214528 0.00156591251619101 0.0403798489784815 "TRINITY_DN10753_c0_g2"
"TRINITY_DN10797_c0_g1" 8.56096114289966 4.95603557826651 1.35039580478175 3.67006144473879 0.000242492172226126 0.0111267165813576 "TRINITY_DN10797_c0_g1"
"TRINITY_DN10800_c0_g1" 81.8053472340637 2.31754071727992 0.715875761940952 3.23735044611146 0.00120645156703095 0.0338548732912947 "TRINITY_DN10800_c0_g1"
"TRINITY_DN10953_c0_g1" 41.2619801815268 5.17777508085931 1.21487154919999 4.26199385792593 2.02611013390256e-05 0.00181749760945216 "TRINITY_DN10953_c0_g1"
"TRINITY_DN109805_c0_g1" 126.947305805286 5.68018314261735 1.73606357000865 3.27187508611165 0.00106836767655285 0.0313026767770187 "TRINITY_DN109805_c0_g1"
"TRINITY_DN111416_c0_g1" 62.5097098707326 3.44470581361692 0.976395695141784 3.5279813612008 0.000418741640715358 0.0161914860156076 "TRINITY_DN111416_c0_g1"
"TRINITY_DN11174_c0_g1" 37.284095713666 2.16969691558021 0.660111850711852 3.28686254191687 0.00101310272725631 0.0301811372468293 "TRINITY_DN11174_c0_g1"
"TRINITY_DN11345_c0_g1" 12.5074933977434 3.54977124194524 1.1526451402807 3.07967397587845 0.00207227300571095 0.0486034043563742 "TRINITY_DN11345_c0_g1"
"TRINITY_DN11403_c0_g1" 11.7826857983307 29.8339367778447 3.00989754134055 9.91194429979078 3.69386656704487e-23 8.73945743096772e-20 "TRINITY_DN11403_c0_g1"
"TRINITY_DN1161_c0_g1" 375.155236338575 2.47741921132369 0.632830134747995 3.91482496690877 9.04698139932165e-05 0.00549716662714801 "TRINITY_DN1161_c0_g1"
"TRINITY_DN11866_c0_g1" 53.3216673186863 2.91157967311317 0.938027228026945 3.10393940188432 0.00190962439022677 0.045781400438274 "TRINITY_DN11866_c0_g1"
"TRINITY_DN120659_c0_g1" 8.18757814747272 5.77626464467632 1.43840057377008 4.0157552423221 5.92557282565357e-05 0.00402474703427278 "TRINITY_DN120659_c0_g1"
"TRINITY_DN12412_c0_g1" 93.7175494463376 18.8803188771865 4.64619878946595 4.0636054832593 4.83204704894392e-05 0.00349761122985776 "TRINITY_DN12412_c0_g1"
"TRINITY_DN12663_c1_g1" 17.2339371919096 16.7554911812997 2.14228191120948 7.82132878666748 5.22686271816096e-15 6.82285821365459e-12 "TRINITY_DN12663_c1_g1"
"TRINITY_DN12716_c0_g1" 28.6880093022598 2.41987719717406 0.664097371974644 3.64385901720817 0.000268580574225972 0.011947259268301 "TRINITY_DN12716_c0_g1"
"TRINITY_DN132086_c0_g1" 16.1603006727862 28.0821863025495 5.03518539383427 5.57719013423756 2.44434657957941e-08 7.17292556356423e-06 "TRINITY_DN132086_c0_g1"
"TRINITY_DN132202_c0_g1" 12.8624410459978 18.5108487969483 2.4147526568435 7.66573286273767 1.77812939185763e-14 2.10347150402408e-11 "TRINITY_DN132202_c0_g1"
"TRINITY_DN13265_c0_g1" 2147.00316703807 2.46439777606337 0.399477626158664 6.16905081709023 6.87011478511645e-10 3.3342076306485e-07 "TRINITY_DN13265_c0_g1"
"TRINITY_DN13269_c0_g1" 35.9776414893132 2.54218183136974 0.711250034901042 3.57424493022828 0.000351240025291062 0.0141901719929489 "TRINITY_DN13269_c0_g1"
"TRINITY_DN133258_c0_g2" 9.24185958120629 4.77592261533656 1.2088603872914 3.95076442701343 7.79019744476113e-05 0.00487434585572616 "TRINITY_DN133258_c0_g2"
"TRINITY_DN134_c2_g5" 467.314621056039 3.68778695698832 1.11802498457124 3.29848349355321 0.000972085951509756 0.0292514417284593 "TRINITY_DN134_c2_g5"
"TRINITY_DN1342_c3_g1" 189.279830290726 2.69079551404118 0.665714172250712 4.04196819927068 5.30044222528445e-05 0.00370883993416161 "TRINITY_DN1342_c3_g1"
"TRINITY_DN13810_c0_g4" 10.673373719353 15.1130169715685 2.92438248466549 5.16793444455923 2.36695296185194e-07 5.0337642905003e-05 "TRINITY_DN13810_c0_g4"
"TRINITY_DN13875_c0_g1" 20.458143006867 4.26830679698227 1.22088636566725 3.49607213006226 0.000472161048810931 0.0175182907958439 "TRINITY_DN13875_c0_g1"
"TRINITY_DN1400_c0_g1" 191.268860622688 3.94779655305363 1.06223340437201 3.71650574798818 0.000201997047730625 0.00978907737289536 "TRINITY_DN1400_c0_g1"
"TRINITY_DN14070_c0_g1" 113.465557616769 3.16903533398931 0.770654883208465 4.1121329443806 3.92020435002671e-05 0.00302855787082166 "TRINITY_DN14070_c0_g1"
"TRINITY_DN14345_c0_g1" 32.5675934737114 6.8153549695165 1.78649597296667 3.81492881744304 0.000136222194675812 0.00731445557369202 "TRINITY_DN14345_c0_g1"
"TRINITY_DN1443_c0_g1" 296.988753118625 2.58950679760224 0.806175595492347 3.21208780330392 0.00131774094915578 0.0359647322496697 "TRINITY_DN1443_c0_g1"
"TRINITY_DN149742_c0_g1" 18.5632362121429 2.12741960141294 0.655418125987297 3.24589680550607 0.00117081271516513 0.0332491487866287 "TRINITY_DN149742_c0_g1"
"TRINITY_DN150_c0_g2" 418.162549942743 2.77050944651667 0.768485774085326 3.60515384922279 0.000311968059450652 0.0130636624894961 "TRINITY_DN150_c0_g2"
"TRINITY_DN15023_c0_g1" 40.5355439481404 3.00698453213396 0.781540927491408 3.84750743865172 0.000119325655297577 0.00659906735694568 "TRINITY_DN15023_c0_g1"
"TRINITY_DN150248_c3_g2" 3136.67671612776 8.61696198911732 1.67238976463651 5.1524842900424 2.57058157820192e-07 5.40607586904631e-05 "TRINITY_DN150248_c3_g2"
"TRINITY_DN15246_c0_g1" 64.6933411109028 2.90454112083728 0.856223711338568 3.39226896239126 0.000693163616433454 0.0229769778459618 "TRINITY_DN15246_c0_g1"
"TRINITY_DN15286_c0_g1" 7.4951864616438 31.8596971625965 4.99956399952023 6.37249511470478 1.85977345700335e-10 1.06669279113427e-07 "TRINITY_DN15286_c0_g1"
"TRINITY_DN154141_c0_g1" 26.4997344532575 30.8848603562759 4.99917895648883 6.17798655040905 6.49242439206537e-10 3.19182760209915e-07 "TRINITY_DN154141_c0_g1"
"TRINITY_DN1542_c1_g1" 10.4870740460533 4.16938605533696 1.23321265359215 3.38091410527796 0.000722451229085737 0.023616918201244 "TRINITY_DN1542_c1_g1"
"TRINITY_DN15675_c0_g1" 51.0649522581383 3.23630334808791 1.00046196936404 3.23480896544736 0.0012172414333982 0.0340566699639978 "TRINITY_DN15675_c0_g1"
"TRINITY_DN15859_c0_g1" 94.8554855365468 4.3026599950408 0.95232965769232 4.51803633362315 6.24157756784506e-06 0.000731501296689705 "TRINITY_DN15859_c0_g1"
"TRINITY_DN1641_c1_g1" 729.88986255589 3.69405244645955 1.03689514255544 3.56260946247228 0.000367186723282327 0.0146777755119878 "TRINITY_DN1641_c1_g1"
"TRINITY_DN16508_c0_g1" 12.8519523970244 4.86532363698849 1.13559654387154 4.28437693232259 1.83252009166386e-05 0.00168373903082368 "TRINITY_DN16508_c0_g1"
"TRINITY_DN1678_c0_g1" 181.783211499266 2.46641588888585 0.607093558068309 4.06266193423902 4.85162687905288e-05 0.00349825400964851 "TRINITY_DN1678_c0_g1"
"TRINITY_DN1678_c0_g2" 8.85582018191933 5.68219430958777 1.54966853966795 3.6667159228807 0.00024568547157452 0.0112053295499439 "TRINITY_DN1678_c0_g2"
"TRINITY_DN1678_c7_g1" 7.89872597541621 5.67121568734559 1.4926452775292 3.79943967446388 0.000145023607027782 0.00768889165831467 "TRINITY_DN1678_c7_g1"
"TRINITY_DN16898_c1_g1" 40.7225263569024 3.80383949261943 1.19486344747069 3.18349305995717 0.00145509601434426 0.0383500997145313 "TRINITY_DN16898_c1_g1"
"TRINITY_DN1723_c2_g1" 28.777949670978 3.22918408690105 1.03041828331786 3.13385752095096 0.00172524604559168 0.042797633719445 "TRINITY_DN1723_c2_g1"
"TRINITY_DN17564_c0_g1" 9.01374984428944 15.3997469758173 4.928811976013 3.12443384952867 0.00178147573267132 0.0436773081996586 "TRINITY_DN17564_c0_g1"
"TRINITY_DN17630_c0_g1" 19.5744946463799 2.79465641641688 0.873493003917911 3.19940331963954 0.00137712367076974 0.0370775366692663 "TRINITY_DN17630_c0_g1"
"TRINITY_DN17711_c0_g1" 11.2648644994075 5.13323960249752 1.3896149540845 3.69400141198063 0.000220752574401335 0.0104708143588314 "TRINITY_DN17711_c0_g1"
"TRINITY_DN178_c1_g1" 2270.31450987057 2.08792796889731 0.399574565593409 5.22537756074771 1.73800097468851e-07 3.82511784283916e-05 "TRINITY_DN178_c1_g1"
"TRINITY_DN18128_c1_g1" 7.54002578802074 4.40946204402924 1.22507527151452 3.59933968675897 0.000319026235382259 0.0132857405284878 "TRINITY_DN18128_c1_g1"
"TRINITY_DN18223_c0_g2" 29.3528574239607 2.81988225665517 0.819466916051912 3.4411178797077 0.000579316089945665 0.0200568099401432 "TRINITY_DN18223_c0_g2"
"TRINITY_DN18263_c0_g1" 4061.43688921055 2.23502120871868 0.588682641201561 3.79664874125857 0.000146665376165924 0.00773261534089285 "TRINITY_DN18263_c0_g1"
"TRINITY_DN18274_c0_g1" 55.1190391452467 2.49915512660709 0.647450716492151 3.85999283489462 0.000113390349838598 0.00638752320287309 "TRINITY_DN18274_c0_g1"
"TRINITY_DN18693_c0_g1" 10.6508714827755 26.1829660555232 4.99960867574681 5.23700308436883 1.63204966314059e-07 3.65569467444893e-05 "TRINITY_DN18693_c0_g1"
"TRINITY_DN19074_c0_g1" 112.857743066777 2.83053781169541 0.749629758687018 3.77591441494148 0.000159421727672554 0.00825569015190771 "TRINITY_DN19074_c0_g1"
"TRINITY_DN1925_c0_g1" 34.9815960453527 5.14871611120939 1.15328836087323 4.46437880228925 8.03013873295084e-06 0.000894061475693688 "TRINITY_DN1925_c0_g1"
"TRINITY_DN1938_c2_g1" 8287.20095965467 2.55577074013521 0.822493942284885 3.10734293438719 0.00188777269659942 0.0454590556169026 "TRINITY_DN1938_c2_g1"
"TRINITY_DN19469_c0_g1" 190.689437909787 3.61090730649904 1.03154721897974 3.50047699228975 0.00046442632682185 0.0173650357769088 "TRINITY_DN19469_c0_g1"
"TRINITY_DN19482_c0_g1" 10.3170185088282 4.36669143350372 1.1772042952493 3.70937436358824 0.000207772025875506 0.00999391364614648 "TRINITY_DN19482_c0_g1"
"TRINITY_DN1982_c6_g1" 156.670644454094 5.96202971602986 1.61096139037381 3.7009140949346 0.000214824199849905 0.0102678915218663 "TRINITY_DN1982_c6_g1"
"TRINITY_DN1982_c6_g2" 66.2348659025943 6.18386171667437 1.69526208799571 3.64773197045035 0.000264565416845041 0.0118242312333755 "TRINITY_DN1982_c6_g2"
"TRINITY_DN2040_c12_g1" 688.813522105389 3.77498759662759 1.16067586800082 3.2524046555131 0.00114432980308062 0.0327068321649931 "TRINITY_DN2040_c12_g1"
"TRINITY_DN2077_c0_g1" 3718.07219950965 2.34599518934434 0.431005291745086 5.44307746163789 5.23678604783241e-08 1.40594706269997e-05 "TRINITY_DN2077_c0_g1"
"TRINITY_DN2128_c0_g1" 9619.8288775801 2.67495080162248 0.513737393110322 5.20684465934534 1.92078757959504e-07 4.13133033099831e-05 "TRINITY_DN2128_c0_g1"
"TRINITY_DN21683_c0_g2" 27.3084317871565 29.5125292717892 5.00082468056633 5.90153247852852 3.60140507333043e-09 1.31087681779734e-06 "TRINITY_DN21683_c0_g2"
"TRINITY_DN2217_c2_g1" 73.1614243432555 4.68048179590303 1.29760400853448 3.60701860129824 0.000309735463878372 0.0130133584740463 "TRINITY_DN2217_c2_g1"
"TRINITY_DN226153_c0_g1" 460.107460393056 10.9620112908481 2.64394236247917 4.14608557524275 3.38207468096215e-05 0.00270673228430914 "TRINITY_DN226153_c0_g1"
"TRINITY_DN228458_c0_g1" 14.5946600748631 5.3566816032395 1.72541315464824 3.1045790909897 0.00190549975186722 0.0457114658472329 "TRINITY_DN228458_c0_g1"
"TRINITY_DN2324_c1_g1" 83.9444550525242 2.52905133972371 0.630463296524422 4.01141724453382 6.0355333679321e-05 0.00407991277934053 "TRINITY_DN2324_c1_g1"
"TRINITY_DN23295_c0_g1" 53.0234682706837 26.7580138079761 3.24698622337871 8.24087691389482 1.70953027215073e-16 3.08163183106028e-13 "TRINITY_DN23295_c0_g1"
"TRINITY_DN23326_c0_g1" 42.5670256345371 3.99378655612118 0.851738098884211 4.68898427973705 2.74564477881256e-06 0.000371201368221248 "TRINITY_DN23326_c0_g1"
"TRINITY_DN2365_c1_g1" 11473.1232100248 2.62304597570868 0.43038944573995 6.0945871272447 1.09720261310607e-09 5.12772900236179e-07 "TRINITY_DN2365_c1_g1"
"TRINITY_DN2413_c0_g2" 56.1954554030583 4.8133327687319 0.978375282637112 4.91972033038084 8.66679583800943e-07 0.00014389541949467 "TRINITY_DN2413_c0_g2"
"TRINITY_DN24180_c0_g1" 7.97361412626348 4.31915260467124 1.16512832231466 3.70701880810067 0.000209713373706453 0.0100617233988058 "TRINITY_DN24180_c0_g1"
"TRINITY_DN2570_c1_g1" 40.6229746847684 3.44952380034307 0.981983469024508 3.51281249547897 0.000443390260469388 0.0168013396497184 "TRINITY_DN2570_c1_g1"
"TRINITY_DN26096_c0_g1" 177.865730593959 2.97884606056746 0.70944436025608 4.19884380995322 2.68281282474971e-05 0.00225082172185827 "TRINITY_DN26096_c0_g1"
"TRINITY_DN26152_c1_g2" 50.3942699103014 2.21621552195161 0.574815014677206 3.85552824015245 0.000115479998026067 0.00648572859853644 "TRINITY_DN26152_c1_g2"
"TRINITY_DN26160_c0_g1" 9.19488220465397 4.08114352802679 1.05473372803812 3.86935908043635 0.000109121830268301 0.00627782201338379 "TRINITY_DN26160_c0_g1"
"TRINITY_DN26257_c0_g1" 11.1884734216574 4.29064760127611 1.13982219274331 3.76431309075448 0.000167007530245277 0.00849740599117601 "TRINITY_DN26257_c0_g1"
"TRINITY_DN27235_c0_g1" 19.0976518507141 4.71322287323333 1.50788335591327 3.12572113403209 0.001773696600154 0.043566970804058 "TRINITY_DN27235_c0_g1"
"TRINITY_DN27944_c0_g1" 12.5876572491997 15.6442554217671 5.06099563283838 3.0911418536422 0.00199388354412041 0.0471151445459914 "TRINITY_DN27944_c0_g1"
"TRINITY_DN2830_c0_g2" 21.0850266840651 2.82265643223444 0.784943754418787 3.59599833280345 0.000323149867805334 0.0134069467259296 "TRINITY_DN2830_c0_g2"
"TRINITY_DN2987_c0_g1" 161.595422870844 2.72829754595241 0.73706508135988 3.70156939319214 0.000214270036545519 0.0102543517489641 "TRINITY_DN2987_c0_g1"
"TRINITY_DN30747_c0_g1" 8.02921524797552 29.154519654452 2.21638501821387 13.1540862327011 1.61220754316082e-39 5.5481924133048e-36 "TRINITY_DN30747_c0_g1"
"TRINITY_DN3076_c4_g1" 12.3366076123968 2.30365615883669 0.736386460879065 3.12832497773885 0.00175805680695785 0.0433276304865816 "TRINITY_DN3076_c4_g1"
"TRINITY_DN31293_c0_g1" 1440.40755825593 2.17489318767911 0.69307441216017 3.13803705564662 0.00170083373390586 0.0425437964784222 "TRINITY_DN31293_c0_g1"
"TRINITY_DN31428_c0_g1" 102.715500619976 5.20799886610751 1.63478041905484 3.18574825426313 0.0014438017204314 0.0382094634205186 "TRINITY_DN31428_c0_g1"
"TRINITY_DN31468_c0_g1" 1708.10733159988 2.94230675484303 0.858789515775811 3.42610930943308 0.000612293916840324 0.0208814290288202 "TRINITY_DN31468_c0_g1"
"TRINITY_DN3147_c0_g4" 132.39248645696 2.11160512122798 0.669148197025003 3.15566137757834 0.00160134653086829 0.0411254904518447 "TRINITY_DN3147_c0_g4"
"TRINITY_DN3199_c0_g1" 154.012232088796 4.33509151189411 0.939595569623608 4.61378453884228 3.95402323068662e-06 0.00049399191220344 "TRINITY_DN3199_c0_g1"
"TRINITY_DN32059_c0_g1" 11.8301468864395 15.2840241386374 2.99215588249912 5.10803071057643 3.25533750704645e-07 6.55482985793847e-05 "TRINITY_DN32059_c0_g1"
"TRINITY_DN32720_c0_g1" 77.1134290000078 37.3445265711566 4.62337966883564 8.0773220557423 6.6204533575428e-16 1.00246904739913e-12 "TRINITY_DN32720_c0_g1"
"TRINITY_DN3329_c0_g3" 74.6440925742034 3.15629266000883 0.754240240599605 4.18473119055494 2.85503748519812e-05 0.00234950965222119 "TRINITY_DN3329_c0_g3"
"TRINITY_DN3385_c0_g2" 52.9442252662032 2.02271735599882 0.60596987587136 3.33798334956871 0.000843888061163785 0.0264229797811043 "TRINITY_DN3385_c0_g2"
"TRINITY_DN341_c4_g1" 666.257268949672 2.03832578206345 0.548308170775699 3.71748204878982 0.000201218279599378 0.00976553586440315 "TRINITY_DN341_c4_g1"
"TRINITY_DN34105_c0_g1" 29.9051708581367 30.4030419106206 4.99843537611797 6.08251175075371 1.18314222531128e-09 5.39612637821186e-07 "TRINITY_DN34105_c0_g1"
"TRINITY_DN342_c0_g2" 365.298251902669 2.09528619545018 0.597299200194488 3.50793403836456 0.000451601007606173 0.017017228671248 "TRINITY_DN342_c0_g2"
"TRINITY_DN3450_c3_g1" 28.2899843028499 3.1246872560667 0.917709001626048 3.40487807194896 0.00066193601473107 0.0222932276135629 "TRINITY_DN3450_c3_g1"
"TRINITY_DN35914_c0_g1" 8.4906398511746 6.1782946053229 1.41420583968657 4.36873786823862 1.24966654635883e-05 0.00126826078049366 "TRINITY_DN35914_c0_g1"
"TRINITY_DN38854_c0_g1" 350.354625752343 17.4799282983025 1.84988483862574 9.44919809780601 3.41436353064317e-21 7.1805961918054e-18 "TRINITY_DN38854_c0_g1"
"TRINITY_DN3926_c0_g2" 20.4797099594876 4.27050117405697 1.16672199592968 3.66025598982053 0.000251963398403258 0.0114502694436438 "TRINITY_DN3926_c0_g2"
"TRINITY_DN39280_c0_g1" 13.7431399627932 3.56909036993815 1.09916962226475 3.24707879261102 0.00116596105971635 0.0331730970014732 "TRINITY_DN39280_c0_g1"
"TRINITY_DN39376_c1_g1" 8.36349166942558 3.68683915831639 1.09236388235134 3.37510166518905 0.000737884265120358 0.0240359550376777 "TRINITY_DN39376_c1_g1"
"TRINITY_DN394_c0_g2" 4963.65678685139 4.94311899976143 1.09390177627099 4.51879602628681 6.21922735225345e-06 0.000731145501302964 "TRINITY_DN394_c0_g2"
"TRINITY_DN3999_c9_g1" 382.166930480789 2.06823956890388 0.485570233130153 4.25940353792137 2.04973131072625e-05 0.00183001365017788 "TRINITY_DN3999_c9_g1"
"TRINITY_DN414_c1_g1" 700.923409071422 2.90148796023861 0.65443012072244 4.4336100499708 9.26681711142213e-06 0.00101093764193915 "TRINITY_DN414_c1_g1"
"TRINITY_DN41425_c2_g1" 8.79854788285881 3.09774004970158 0.987669346784639 3.13641408411254 0.00171027539103347 0.042616993245195 "TRINITY_DN41425_c2_g1"
"TRINITY_DN4203_c0_g1" 88.3158796611869 5.46621319984812 1.07443107667872 5.08754197313918 3.62734122868021e-07 7.07798980472625e-05 "TRINITY_DN4203_c0_g1"
"TRINITY_DN42031_c0_g1" 310.313570973627 9.99805033790149 3.14190590501414 3.18216096858461 0.00146180549042657 0.0384549317860304 "TRINITY_DN42031_c0_g1"
"TRINITY_DN42256_c0_g1" 25.4937737324623 4.00455201733407 1.2915748924605 3.10051863094461 0.00193182060220141 0.0461091228854566 "TRINITY_DN42256_c0_g1"
"TRINITY_DN42377_c0_g1" 28.0106347526133 5.40743907977963 1.33865669008565 4.03945172786135 5.3576292674778e-05 0.00374193830111388 "TRINITY_DN42377_c0_g1"
"TRINITY_DN42591_c0_g2" 22.3132213413512 3.44777706038688 0.81906806133752 4.20939018761974 2.56060855706894e-05 0.00216849747042158 "TRINITY_DN42591_c0_g2"
"TRINITY_DN4288_c0_g1" 429.042819795915 2.18964472559258 0.689788937414256 3.17436915384681 0.00150162577082126 0.0390144430709944 "TRINITY_DN4288_c0_g1"
"TRINITY_DN4367_c0_g3" 253.448262395522 4.4202967549551 1.16293166494871 3.8009944076551 0.000144116555074129 0.00765151780130594 "TRINITY_DN4367_c0_g3"
"TRINITY_DN43947_c0_g1" 9.8522112694859 3.85467339359059 0.991560639006292 3.88748125122596 0.0001012898086186 0.00595392190257317 "TRINITY_DN43947_c0_g1"
"TRINITY_DN4556_c3_g1" 39.6870565793792 3.3425037166271 1.04725253441901 3.19168835287797 0.00141443855741097 0.0376983118414041 "TRINITY_DN4556_c3_g1"
"TRINITY_DN46147_c0_g1" 7.62231181347371 4.1758743339892 1.20785481989658 3.45726511597373 0.000545687714549093 0.019343388258743 "TRINITY_DN46147_c0_g1"
"TRINITY_DN46342_c0_g1" 14.3638190550431 17.9592719152121 2.44897490334321 7.33338340490752 2.24413726674193e-13 2.49858283036812e-10 "TRINITY_DN46342_c0_g1"
"TRINITY_DN46842_c0_g1" 17.151747703928 2.61268931369744 0.825006844341135 3.16686986492092 0.00154089256811661 0.0398810197388249 "TRINITY_DN46842_c0_g1"
"TRINITY_DN483_c3_g2" 2623.29447724757 3.05392344171282 0.693198322099742 4.40555515550339 1.05513299368453e-05 0.00111569998536112 "TRINITY_DN483_c3_g2"
