maleID,section_num,babyID_1,momID_baby1,babyID_2,momID_baby2,babyID_3,momID_baby3,num_embryos_dev,num_embryos_non_dev,prop_theoret_mom1,prop_theoret_mom2,prop_theoret_mom3
FL2M2,7,E1,FL2F8,E2,FL2F8,E3,FL2F8,5,0,1,0,0
FL2M2,8,E4,FL2F8,E5,FL2F8,E6,FL2F8,14,0,1,0,0
FL2M2,9,E7,FL2F8,E8,FL2F8,E9,FL2F8,5,0,1,0,0
FL2M2,10,E10,FL2F8,NA,FL2F8,NA,FL2F8,1,0,1,0,0
FL2M3,1,E1,FL2F5,E2,FL2F5,E3,FL2F5,3,0,1,0,0
FL2M3,2,E4,FL2F5,E5,FL2F5,E6,FL2F5,8,0,1,0,0
FL2M3,3,E7,FL2F5,E8,FL2F5,E9,FL2F5,5,2,1,0,0
FL2M3,4,E10,FL2F5,E11,FL2F5,E12,FL2F5,15,0,1,0,0
FL2M3,5,E13,FL2F5,E14,FL2F5,E15,FL2F5,6,3,1,0,0
FL2M3,6,E16,FL2F5,E17,FL2F5,E18,FL2F5,19,1,1,0,0
FL2M3,7,E19,FL2F5,E20,FL2F5,E21,FL2F5,6,2,1,0,0
FL2M3,8,E22,FL2F5,E23,FL2F5,E24,FL2F5,19,0,1,0,0
FL2M3,9,E25,FL2F5,E26,FL2F5,NA,FL2F5,2,2,1,0,0
FL2M3,10,E27,FL2F5,E28,FL2F5,E29,FL2F5,13,1,1,0,0
FL2M3,11,E30,FL2F5,E31,FL2F5,E32,FL2F5,11,1,1,0,0
FL2M3,12,E33,FL2F5,E34,FL2F5,E35,FL2F5,14,3,1,0,0
FL2M3,13,E36,FL2F5,E37,FL2F5,E38,FL2F5,3,9,1,0,0
FL2M3,14,E39,FL2F5,E40,FL2F5,E41,FL2F5,7,4,1,0,0
FL2M8,1,E1,FL2F7,E2,FL2F7,E3,FL2F7,23,9,1,0,0
FL2M8,2,E4,FL2F7,E5,FL2F7,E6,FL2F7,26,3,1,0,0
FL2M8,3,E7,FL2F7,E8,FL2F7,E9,FL2F7,25,12,1,0,0
FL2M8,4,E10,FL2F7,E11,FL2F7,E12,FL2F7,20,10,1,0,0
FL2M8,5,E13,FL2F7,E14,FL2F7,E15,FL2F8,27,14,0.666666667,0,0.333333333
FL2M8,6,E16,FL2F8,E17,FL2F8,E18,FL2F7,10,9,0.666666667,0,0.333333333
FL2M8,7,E19,FL2F7,E20,FL2F8,E21,FL2F8,21,4,0.333333333,0.666666667,0
FL2M8,8,E22,FL2F8,E23,FL2F8,E24,FL2F8,19,6,1,0,0
FL2M8,9,E25,FL2F8,E26,FL2F8,E27,FL2F8,20,9,1,0,0
