trial_num,fishID,col_location,col_month,lat_to_trial,weight,length,depth,svl
1,1,TBML,september,14,2.9,180.79,5.88,76.181
1,2,TBML,september,14,5,212.253,8.328,97.916
1,3,TBML,september,14,1.1,138.745,4.348,62.764
1,4,TBML,september,14,6.7,220.397,8.808,97.924
1,5,TBML,september,14,3.9,196.883,7.057,84.66
1,6,TBML,september,14,1.2,142.38,4.411,59.033
1,7,TBML,september,14,1.5,134.24,NA,63.363
1,8,TBML,september,14,4.1,198.066,8.065,79.272
2,1,TBML,october,12,4.8,199.032,7.376,88.812
2,2,TBML,october,12,2.4,169.335,5.32,76.236
2,3,TBML,october,12,5.3,209.808,8.059,103.071
2,4,TBML,september,19,3.1,171.947,6.569,77.543
2,5,TBML,september,19,1.7,147.601,4.996,63.396
2,6,TBML,september,19,1.9,152.714,4.68,70.134
2,7,TBML,september,19,3.5,184.933,6.452,85.602
2,8,TBML,september,19,2.7,175.575,6.269,78.212
3,1,TBML,october,19,5.6,203.611,8.484,95.139
3,2,TBML,october,12,3.4,181.831,8.033,86.401
3,3,TBML,october,5,1.2,142.32,3.914,63.24
3,4,TBML,october,5,4,181.386,8.575,85.176
3,5,TBML,october,5,3.3,162.618,6.991,76.801
3,6,TBML,october,19,1.2,139.352,4.015,63.443
3,7,TBML,october,19,1.4,148.166,4.285,64.288
3,8,TBML,october,5,2,156.81,5.194,72.794
4,1,FD,october,11,2.1,156.414,5.208,66.831
4,2,FD,october,11,4.7,202.084,7.211,91.533
4,3,FD,october,11,5.1,197.892,8.56,89.645
4,4,TBML,october,14,3,182.398,6.214,79.505
4,5,TBML,october,14,4.1,197.452,7.179,89.68
4,6,TBML,october,14,1.7,144.463,4.346,66.446
4,7,TBML,october,14,2.1,163.219,5.99,70.72
4,8,TBML,october,14,1.7,152.466,6.161,65.521
5,1,TBML,october,8,1.1,155.761,4.854,57.688
5,2,TBML,october,8,1.2,138.234,4.51,59.274
5,3,FD,october,12,4.2,199.048,6.862,91.479
5,4,FD,october,12,3.5,178.421,6.389,80.983
5,5,FD,october,12,3.1,188.505,7.037,81.81
5,6,FD,october,12,3.2,179.746,6.803,80.759
5,7,FD,october,12,2.9,180.301,5.71,82.105
5,8,FD,october,12,3.3,175.911,6.62,78.497
6,1,TBML,october,20,2.1,164.714,5.805,70.595
6,2,TBML,october,20,5.6,211.777,8.452,95.709
6,3,TBML,october,20,5.3,204.937,8.159,85.194
6,4,TBML,october,11,1.7,152.162,5.249,69.552
6,5,TBML,october,13,3,170.718,7.772,79.468
6,6,TBML,october,13,6.1,215.716,8.912,97.194
6,7,TBML,october,13,5.7,204.212,9.391,90.367
6,8,TBML,october,13,2.1,160.683,5.807,71.635
8,1,TBML,october,28,3.2,187.551,5.919,87.162
8,2,TBML,october,28,5.3,213.903,7.713,98.804
8,3,TBML,october,30,4.5,204.794,7.912,88.361
8,4,TBML,october,28,7.1,224.516,8.608,103.74
8,5,TBML,october,28,2.7,174.166,6.447,74.061
8,6,TBML,october,28,3.7,190.161,6.365,84.046
8,7,DC,october,21,2.8,179.241,5.923,82.302
8,8,TBML,october,28,1.7,151.385,4.692,65.763
9,1,DC,october,21,2.1,160.62,4.799,68.257
9,2,DC,october,21,5,199.544,8.252,95.071
9,3,DC,october,21,2.3,166.824,5.048,91.118
9,4,DC,october,21,2.6,179.877,5.531,83.355
9,5,TBML,october,28,1.2,143.254,3.587,62.772
9,6,TBML,october,28,3.1,183.911,5.852,83.544
9,7,TBML,october,28,1.4,151.031,4.042,65.236
9,8,TBML,october,28,4.1,192.601,6.841,88.563
10,1,TBML,october,20,3,193.378,6.495,86.575
10,2,TBML,october,20,8.7,225.72,9.953,108.674
10,3,DC,october,26,4.7,198.763,7.274,87.167
10,4,TBML,october,20,1.9,159.222,4.915,70.759
10,6,DC,october,26,2.8,170.93,5.56,75.035
10,7,TBML,october,20,1.8,159.943,4.789,73.551
11,1,TBML,october,20,3.8,182.847,6.251,82.186
11,2,TBML,october,20,5.9,202.292,8.265,95.052
11,3,TBML,october,20,5,230.216,8.964,106.071
11,4,DC,october,26,1.3,157.063,3.645,70.549
11,5,DC,october,26,3.1,174.855,6.001,76.946
11,6,DC,october,26,1.6,145.605,4.729,62.936
11,7,DC,october,26,2,163.268,4.729,72.783
11,8,DC,october,26,2.2,176.406,5.227,81.853
12,1,TBML,november,13,3.6,189.603,6.972,87.644
12,2,TBML,november,13,4.6,195.714,7.464,83.414
12,3,TBML,november,13,4.5,190.545,7.709,88.796
12,4,TBML,november,13,5.6,201.046,8.654,92.544
12,5,TBML,november,13,3.1,170.164,6.707,80.435
12,6,TBML,november,13,2,164.242,5.179,71.73
12,7,TBML,november,13,2,154.88,4.843,67.778
12,8,TBML,november,13,2.2,167.522,5.655,73.457
