trial_num,fishID,col_location,col_date,lat_to_trial,weight,length,depth,svl,bp_area,bp_length,preg_status,lat_to_preg
1,1,TBML,september,14,6.4,202.781,8.001,89.603,317.268,46.613,1,4
1,2,TBML,september,14,10.3,226.86,8.96,93.396,436.744,58.478,0,NA
1,3,TBML,september,14,3.7,173.613,6.234,72.426,263.858,48.34,1,7
1,4,TBML,september,14,3.9,188.605,5.983,76.332,278.733,51.911,1,4
1,5,TBML,september,14,6,214.153,7.276,88.496,410.071,60.783,1,4
1,6,TBML,september,14,2.5,139.238,3.905,61.926,160.429,40.153,1,1
1,7,TBML,september,14,3.8,171.817,4.744,69.863,221.442,45.875,1,1
1,8,TBML,september,14,2.7,155.874,4.786,65.682,211.78,45.838,1,1
2,1,TBML,september,19,3.3,179.53,6.157,75.048,248.56,46.541,0,NA
2,2,TBML,september,19,2.3,167.096,4.817,67.123,256.911,56.069,1,10
2,3,TBML,october,12,5.1,203.378,7.164,86.735,291.69,50.16,1,2
2,4,TBML,october,12,4.9,208.83,6.801,80.84,482.708,62.954,0,NA
2,5,TBML,october,12,2,168.044,4.556,68.549,195.087,47.338,0,NA
2,6,TBML,october,12,3.5,180.689,5.692,78.81,262.56,48.773,0,NA
2,7,TBML,october,12,1.7,179.602,3.381,61.69,NA,NA,0,NA
2,8,TBML,october,12,2.7,176.745,5.401,72.091,266.031,51.883,1,4
3,1,TBML,october,12,3.1,173.07,5.67,75.712,226.528,45.033,0,NA
3,2,TBML,october,12,3.9,189.35,6.709,76.701,341.028,57.531,1,1
3,3,FD,october,9,2.2,147.848,5.471,66.634,176.308,37.232,1,2
3,4,TBML,october,12,1.6,158.925,4.203,62.197,182.056,43.341,1,10
3,5,TBML,october,12,4.8,182.257,7.689,82.505,316.641,49.166,1,3
3,6,TBML,october,19,4,186.13,6.854,79.895,257.996,47.955,1,1
3,7,TBML,october,12,1.8,156.577,4.606,64.718,182.479,41.926,1,1
3,8,TBML,october,12,3.4,178.187,5.903,66.291,262.164,54.198,1,4
4,1,FD,october,11,5.3,201.136,6.819,86.769,294.097,50.213,0,NA
4,2,FD,october,11,5.4,191.748,7.68,84.394,350.439,52.084,0,NA
4,3,FD,october,11,4.1,170.744,7.297,74.834,298.029,46.94,1,3
4,4,FD,october,11,2.6,168.675,5.163,71.59,236.795,48.457,1,2
4,5,FD,october,11,4.3,195.779,6.723,86.756,319.598,53.536,0,NA
4,6,FD,october,11,4.9,193.452,7.474,83.884,297.339,48.208,0,NA
4,7,FD,october,11,2.8,167.744,5.433,72.293,225.355,43.401,1,11
4,8,FD,october,11,3.2,167.624,6.005,72.705,215.416,45.451,1,5
5,1,FD,october,12,1.5,140.47,4.437,65.057,147.348,35.986,0,NA
5,2,FD,october,12,6.3,215.624,8.784,88.203,374.756,57.601,0,NA
5,3,TBML,october,8,1.8,124.09,4.354,60.552,257.145,53.488,1,1
5,4,TBML,october,8,5.2,203.478,7.501,79.615,325.367,51.715,0,NA
5,5,TBML,october,8,5.5,195.027,7.412,76.273,400.462,53.949,1,4
5,6,TBML,october,8,3.6,169.075,6.795,70.83,231.502,42.485,1,1
5,7,TBML,october,8,4.5,188.508,6.055,79.24,344.682,50.366,0,NA
5,8,TBML,october,15,2,157.881,4.656,67.131,187.643,39.494,1,7
6,1,TBML,october,13,2.6,168.16,4.977,74.61,223.157,44.233,0,NA
6,2,TBML,october,13,3.2,178.835,5.193,73.06,291.06,55.48,1,3
6,3,TBML,october,13,1.7,162.557,4.444,64.626,175.046,44.913,0,NA
6,4,TBML,october,13,4.5,200.439,6.745,83.61,288.722,54.481,0,NA
6,5,TBML,october,13,1.3,142.239,4.019,58.76,154.345,40.543,0,NA
6,6,TBML,october,13,2.6,168.876,5.73,73.447,229.612,44.698,1,11
6,7,TBML,september,34,3.4,185.602,6.218,76.94,261.847,49.533,0,NA
6,8,TBML,september,34,2.6,188.605,4.777,77.563,222.397,44.423,0,NA
8,1,TBML,october,30,1.6,161.698,4.274,69.07,159.555,39.781,0,NA
8,2,TBML,october,30,2.4,167.937,5.053,70.219,181.687,48.463,0,NA
8,3,TBML,october,30,3.5,183.353,6.261,78.629,NA ,NA,0,NA
8,4,TBML,october,28,3.5,187.385,6.245,78.897,249.089,47.734,1,2
8,5,TBML,october,28,4.8,199.463,6.797,82.009,324.428,55.725,0,NA
8,6,TBML,october,28,4.7,189.176,6.898,86.564,337.966,52.807,0,NA
8,7,TBML,october,28,2,148.968,4.556,64.267,144.931,38.369,0,NA
8,8,TBML,october,28,2.1,158.183,5.227,70.265,183.203,38.957,1,1
