"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj" "trin_geneid"
"TRINITY_DN10062_c0_g1" 528.048539229371 -6.86192658544702 1.96509594957769 -3.49190409095377 0.00047959042033226 0.0148789132266955 "TRINITY_DN10062_c0_g1"
"TRINITY_DN10064_c0_g1" 19.1322504480332 -8.14360728339575 1.96266201829371 -4.14926625546849 3.33542676397165e-05 0.00233971410053759 "TRINITY_DN10064_c0_g1"
"TRINITY_DN10107_c0_g1" 104.326974672224 -6.21063807686112 1.50372329698881 -4.13017347626247 3.62489603062139e-05 0.0024960760233557 "TRINITY_DN10107_c0_g1"
"TRINITY_DN10163_c0_g2" 187.336344558083 -4.42185220222363 1.28153503617601 -3.45043411018871 0.000559685771392487 0.0166037087988063 "TRINITY_DN10163_c0_g2"
"TRINITY_DN102788_c0_g1" 14.011444019336 -7.33777550697519 1.67412856020679 -4.38304182927793 1.17033631100704e-05 0.0010742591152274 "TRINITY_DN102788_c0_g1"
"TRINITY_DN10284_c0_g2" 20.8380233268468 -2.40012475904424 0.642685017521431 -3.73452732459911 0.000188068072536227 0.00797178048037426 "TRINITY_DN10284_c0_g2"
"TRINITY_DN10310_c0_g5" 10.3228684601917 -2.13542521560037 0.600998701512636 -3.55312783576034 0.0003806794237126 0.0127907187220666 "TRINITY_DN10310_c0_g5"
"TRINITY_DN10315_c1_g1" 132.098973336812 -2.68764478098441 0.791273780720874 -3.39660538042331 0.000682272810026051 0.0190555993546253 "TRINITY_DN10315_c1_g1"
"TRINITY_DN1032_c0_g1" 470.272478688794 -3.99190844113139 1.07190513504132 -3.72412474820127 0.000195993999569904 0.00822483635474709 "TRINITY_DN1032_c0_g1"
"TRINITY_DN10359_c0_g2" 172.08800507293 -5.44247768707553 1.14604373370968 -4.74892670060552 2.04499038492475e-06 0.000262283007629262 "TRINITY_DN10359_c0_g2"
"TRINITY_DN10432_c0_g1" 11.9305618849805 -5.71084383075039 1.33316721400233 -4.28366657293179 1.83838348812108e-05 0.00150503532737579 "TRINITY_DN10432_c0_g1"
"TRINITY_DN104463_c0_g1" 10.4984069225172 -2.0234320315018 0.638706335014946 -3.16801622369137 0.00153482955231098 0.0336008677286477 "TRINITY_DN104463_c0_g1"
"TRINITY_DN10452_c0_g2" 10.8120653079662 -4.00635538482604 1.22096827831894 -3.28129358965991 0.00103332124958692 0.025746196964901 "TRINITY_DN10452_c0_g2"
"TRINITY_DN10469_c0_g1" 39.0509589707713 -2.43452419514964 0.692151446382452 -3.51732876940985 0.000435913496276219 0.0140199205559108 "TRINITY_DN10469_c0_g1"
"TRINITY_DN104952_c0_g1" 199.691064515496 -4.13581797339931 1.01988383265063 -4.05518534660023 5.00945649728875e-05 0.00313329105865264 "TRINITY_DN104952_c0_g1"
"TRINITY_DN10539_c0_g2" 95.4403625789554 -5.11349190681441 1.07278897252154 -4.76654033345942 1.87416225658153e-06 0.00024393393120819 "TRINITY_DN10539_c0_g2"
"TRINITY_DN10543_c1_g1" 189.111361363657 -4.31451231637389 1.09196999474605 -3.95112717119786 7.77839755228252e-05 0.00420740594873464 "TRINITY_DN10543_c1_g1"
"TRINITY_DN1060_c0_g1" 292.642300466948 -5.41992700083417 1.47481870858707 -3.6749784697447 0.000237869473096429 0.00926995420300938 "TRINITY_DN1060_c0_g1"
"TRINITY_DN1060_c0_g2" 291.792288800278 -4.42660734098075 1.19423781561261 -3.70663806078695 0.000210028764163882 0.0085231309233007 "TRINITY_DN1060_c0_g2"
"TRINITY_DN10679_c3_g1" 16.561999767249 -3.16537522542379 0.847308856861141 -3.73579858134605 0.000187120403891292 0.00797010546040309 "TRINITY_DN10679_c3_g1"
"TRINITY_DN1069_c10_g1" 290.602461174416 -4.91796543809945 0.887254956431248 -5.54289993248467 2.97502896716048e-08 8.85071117730244e-06 "TRINITY_DN1069_c10_g1"
"TRINITY_DN10699_c0_g1" 306.78276985696 -3.71427704381353 1.03185317814873 -3.59961777748012 0.000318685267669466 0.0112485096596892 "TRINITY_DN10699_c0_g1"
"TRINITY_DN10719_c1_g2" 23.2769986483326 -3.37452430347823 1.07925591012769 -3.12671375881461 0.00176771944949191 0.0370909395825382 "TRINITY_DN10719_c1_g2"
"TRINITY_DN10728_c0_g1" 1349.52917248282 -3.86218585638055 0.531957356299445 -7.26032981900616 3.86147596564445e-13 5.36101579896971e-10 "TRINITY_DN10728_c0_g1"
"TRINITY_DN10750_c0_g1" 15.5211382864849 -3.77216430968425 1.20513472011487 -3.13007686752624 0.00174760566837952 0.036761503074751 "TRINITY_DN10750_c0_g1"
"TRINITY_DN10771_c1_g2" 58.3251916391824 -4.60449839616316 1.19519227158298 -3.85251687585355 0.000116909916531647 0.00571178653788047 "TRINITY_DN10771_c1_g2"
"TRINITY_DN10775_c0_g1" 78.1849387240988 -3.66532719499976 1.18149035844909 -3.1022912449418 0.00192028931402546 0.0393022358374252 "TRINITY_DN10775_c0_g1"
"TRINITY_DN10974_c0_g1" 879.64620866942 -2.21587240210432 0.681110619573619 -3.25332235091485 0.00114064021792612 0.0275171349440889 "TRINITY_DN10974_c0_g1"
"TRINITY_DN10975_c1_g1" 19.3248995617977 -3.67021369209569 1.06075873670839 -3.45998912390259 0.000540197206252209 0.0161574245173461 "TRINITY_DN10975_c1_g1"
"TRINITY_DN11039_c0_g1" 47.5111308883025 -5.13067804706095 1.31918704018986 -3.88927262833217 0.000100545118534397 0.00520211700243184 "TRINITY_DN11039_c0_g1"
"TRINITY_DN11068_c0_g1" 30.2317835560916 -4.37106992552979 1.42499891023027 -3.06741983741128 0.00215915364332525 0.0424978484407641 "TRINITY_DN11068_c0_g1"
"TRINITY_DN11069_c0_g1" 17.1301701999671 -2.36829927906006 0.74727707361387 -3.16923850962916 0.00152838917182699 0.0335701563647168 "TRINITY_DN11069_c0_g1"
"TRINITY_DN11083_c0_g1" 221.753096952844 -2.94238471959042 0.688864473543443 -4.2713550089978 1.94288829250612e-05 0.00157255735465293 "TRINITY_DN11083_c0_g1"
"TRINITY_DN1118_c1_g2" 21.7292404450049 -2.08839466155061 0.622773918581681 -3.35337527670839 0.000798323845053744 0.0214171904325207 "TRINITY_DN1118_c1_g2"
"TRINITY_DN11190_c0_g1" 49.397642562966 -4.09767100545079 1.2001824948811 -3.41420660851811 0.000639680471391781 0.0182797198171305 "TRINITY_DN11190_c0_g1"
"TRINITY_DN11200_c0_g1" 79.9605780521073 -2.94747328285998 0.98145869628843 -3.00315570487724 0.0026719568845524 0.0488905015888445 "TRINITY_DN11200_c0_g1"
"TRINITY_DN11203_c0_g1" 44.7200095906656 -4.36707027810851 1.12773113503874 -3.87243922103694 0.000107751550975961 0.0054614736580776 "TRINITY_DN11203_c0_g1"
"TRINITY_DN11243_c0_g1" 951.849952079441 -5.05623925949288 1.024748941372 -4.93412489182302 8.05109128723959e-07 0.000124773191484104 "TRINITY_DN11243_c0_g1"
"TRINITY_DN11344_c1_g1" 14.8674717402667 -16.5288556679217 2.08553287331734 -7.9254831603926 2.27260947706685e-15 3.44197035344852e-12 "TRINITY_DN11344_c1_g1"
"TRINITY_DN11361_c0_g1" 3821.60477600619 -4.46538125932938 1.31598567216578 -3.39318379658382 0.000690852673334005 0.0192307527781863 "TRINITY_DN11361_c0_g1"
"TRINITY_DN114234_c0_g1" 591.827757655896 -5.47517623837394 1.16734707228859 -4.6902728146136 2.7284101869207e-06 0.000328197210932122 "TRINITY_DN114234_c0_g1"
"TRINITY_DN11457_c0_g1" 27.3108198054572 -2.49734023213869 0.672547514025697 -3.71325472187124 0.000204610762932612 0.0084272319170762 "TRINITY_DN11457_c0_g1"
"TRINITY_DN11493_c0_g1" 30.5895299711296 -2.6498170685468 0.68488074794684 -3.86901964537698 0.000109273838317691 0.00550117002606424 "TRINITY_DN11493_c0_g1"
"TRINITY_DN11519_c0_g1" 538.249101153121 -3.13214532414485 0.595271314119768 -5.26171050049064 1.42721364880191e-07 3.03783505053244e-05 "TRINITY_DN11519_c0_g1"
"TRINITY_DN11601_c0_g1" 410.988452134702 -7.7545841534757 1.39833316974864 -5.54559122334889 2.92962543940983e-08 8.79415492262482e-06 "TRINITY_DN11601_c0_g1"
"TRINITY_DN11605_c0_g1" 256.47080295818 -5.17609131978252 1.27216861258928 -4.06871484531243 4.72731592710115e-05 0.00301556951969031 "TRINITY_DN11605_c0_g1"
"TRINITY_DN11616_c0_g1" 23.0690384769703 -2.36138981025426 0.67712684197589 -3.48736700994396 0.00048780145738963 0.0150356563924352 "TRINITY_DN11616_c0_g1"
"TRINITY_DN116406_c0_g1" 12.6297880833295 -4.36228301968801 1.37691271360152 -3.16816235088557 0.00153405827614308 0.0336008677286477 "TRINITY_DN116406_c0_g1"
"TRINITY_DN11740_c4_g1" 15.2022658740254 -3.74058077279876 1.23636643812318 -3.02546288661556 0.00248252869926831 0.0466541772473887 "TRINITY_DN11740_c4_g1"
"TRINITY_DN11751_c0_g1" 419.568497638527 -4.711661698622 0.790041233362975 -5.96381745616723 2.46412014149195e-09 1.01363559400632e-06 "TRINITY_DN11751_c0_g1"
"TRINITY_DN1176_c3_g1" 300.755327419987 -3.64384104440293 1.19122006209218 -3.05891510759408 0.00222140088139688 0.0432595425880444 "TRINITY_DN1176_c3_g1"
"TRINITY_DN11796_c0_g1" 18.9837505263477 -2.58644904847825 0.697778542686968 -3.70669043292517 0.000209985355513238 0.0085231309233007 "TRINITY_DN11796_c0_g1"
