Orthogroup	aus_nigra	nz_nigra
OG0000000	TRINITY_DN11031_c2_g1.p6, TRINITY_DN111_c0_g1.p4, TRINITY_DN112733_c5_g2.p2, TRINITY_DN114431_c9_g1.p1, TRINITY_DN114439_c4_g1.p1, TRINITY_DN116811_c0_g1.p1, TRINITY_DN119812_c1_g2.p1, TRINITY_DN128039_c4_g1.p1, TRINITY_DN13138_c17_g1.p1, TRINITY_DN131940_c2_g2.p1, TRINITY_DN138656_c3_g1.p2, TRINITY_DN140934_c0_g1.p1, TRINITY_DN143956_c0_g1.p1, TRINITY_DN14535_c0_g1.p1, TRINITY_DN14845_c0_g1.p1, TRINITY_DN15146_c0_g1.p1, TRINITY_DN15500_c0_g1.p1, TRINITY_DN15524_c1_g1.p1, TRINITY_DN158220_c11_g1.p1, TRINITY_DN158700_c0_g1.p1, TRINITY_DN159363_c1_g1.p1, TRINITY_DN16286_c0_g1.p1, TRINITY_DN16659_c1_g1.p1, TRINITY_DN17168_c0_g1.p2, TRINITY_DN17420_c2_g1.p1, TRINITY_DN182225_c1_g1.p1, TRINITY_DN18293_c0_g1.p1, TRINITY_DN187137_c7_g1.p1, TRINITY_DN188386_c3_g2.p1, TRINITY_DN19149_c0_g1.p1, TRINITY_DN196572_c0_g1.p1, TRINITY_DN20745_c0_g1.p1, TRINITY_DN21183_c2_g1.p1, TRINITY_DN21509_c0_g1.p1, TRINITY_DN216270_c0_g1.p1, TRINITY_DN21854_c0_g1.p3, TRINITY_DN219607_c8_g1.p1, TRINITY_DN219848_c0_g1.p1, TRINITY_DN23372_c4_g2.p1, TRINITY_DN234040_c0_g1.p1, TRINITY_DN238173_c0_g1.p1, TRINITY_DN24784_c3_g1.p1, TRINITY_DN248845_c0_g1.p1, TRINITY_DN253034_c0_g1.p1, TRINITY_DN257797_c0_g1.p2, TRINITY_DN26375_c0_g1.p1, TRINITY_DN267608_c0_g1.p1, TRINITY_DN27072_c0_g1.p3, TRINITY_DN27072_c0_g2.p2, TRINITY_DN27120_c0_g1.p1, TRINITY_DN27196_c0_g2.p1, TRINITY_DN27561_c0_g1.p1, TRINITY_DN27608_c5_g1.p1, TRINITY_DN2881_c3_g1.p2, TRINITY_DN29723_c0_g1.p1, TRINITY_DN2997_c6_g1.p1, TRINITY_DN30098_c0_g1.p1, TRINITY_DN30099_c12_g1.p1, TRINITY_DN304683_c0_g1.p1, TRINITY_DN3104_c1_g2.p1, TRINITY_DN3104_c1_g3.p1, TRINITY_DN3104_c21_g1.p1, TRINITY_DN3104_c2_g2.p1, TRINITY_DN3104_c2_g2.p4, TRINITY_DN3104_c3_g1.p1, TRINITY_DN31082_c0_g1.p1, TRINITY_DN32503_c8_g1.p1, TRINITY_DN32530_c0_g1.p1, TRINITY_DN347219_c0_g1.p1, TRINITY_DN35350_c0_g2.p1, TRINITY_DN35539_c3_g1.p1, TRINITY_DN35567_c0_g1.p1, TRINITY_DN35757_c0_g1.p1, TRINITY_DN35822_c1_g1.p1, TRINITY_DN36819_c0_g2.p1, TRINITY_DN37046_c0_g2.p1, TRINITY_DN38271_c1_g1.p2, TRINITY_DN39238_c0_g1.p1, TRINITY_DN399933_c0_g1.p1, TRINITY_DN40054_c0_g1.p1, TRINITY_DN40147_c1_g1.p1, TRINITY_DN40591_c0_g1.p1, TRINITY_DN41093_c0_g1.p1, TRINITY_DN42173_c3_g1.p1, TRINITY_DN424306_c0_g1.p1, TRINITY_DN42749_c0_g1.p2, TRINITY_DN43921_c3_g1.p1, TRINITY_DN442180_c0_g1.p1, TRINITY_DN44477_c2_g1.p1, TRINITY_DN4483_c1_g1.p1, TRINITY_DN4637_c11_g2.p1, TRINITY_DN4637_c5_g2.p1, TRINITY_DN48492_c1_g1.p1, TRINITY_DN48740_c1_g1.p2, TRINITY_DN494727_c0_g1.p1, TRINITY_DN49665_c0_g1.p1, TRINITY_DN49913_c1_g1.p2, TRINITY_DN49913_c3_g1.p1, TRINITY_DN50972_c0_g1.p1, TRINITY_DN51293_c0_g1.p1, TRINITY_DN516354_c0_g1.p1, TRINITY_DN52268_c0_g1.p1, TRINITY_DN56293_c0_g1.p1, TRINITY_DN58461_c5_g1.p1, TRINITY_DN58859_c1_g1.p1, TRINITY_DN59163_c0_g3.p2, TRINITY_DN59661_c1_g2.p3, TRINITY_DN6126_c1_g1.p1, TRINITY_DN63727_c1_g1.p1, TRINITY_DN65231_c2_g1.p1, TRINITY_DN67292_c1_g1.p1, TRINITY_DN68115_c0_g1.p1, TRINITY_DN7156_c1_g2.p2, TRINITY_DN7156_c2_g1.p1, TRINITY_DN7156_c2_g2.p1, TRINITY_DN74474_c12_g1.p1, TRINITY_DN74737_c8_g1.p1, TRINITY_DN7727_c0_g1.p3, TRINITY_DN7727_c3_g1.p1, TRINITY_DN7727_c5_g1.p1, TRINITY_DN7781_c0_g1.p14, TRINITY_DN81960_c0_g1.p1, TRINITY_DN8282_c1_g1.p1, TRINITY_DN8462_c7_g2.p1, TRINITY_DN8509_c0_g1.p2, TRINITY_DN8509_c2_g1.p3, TRINITY_DN88948_c0_g1.p1, TRINITY_DN89472_c0_g1.p1, TRINITY_DN89728_c0_g1.p1, TRINITY_DN93448_c0_g1.p1, TRINITY_DN95604_c6_g1.p2, TRINITY_DN96437_c2_g1.p1, TRINITY_DN96471_c8_g1.p1, TRINITY_DN96658_c1_g1.p1, TRINITY_DN97721_c1_g1.p1	TRINITY_DN66441_c0_g1.p1
OG0000001	TRINITY_DN132695_c0_g1.p1, TRINITY_DN1366_c2_g1.p1, TRINITY_DN56318_c3_g1.p1, TRINITY_DN95992_c0_g1.p1	TRINITY_DN10583_c2_g1.p1, TRINITY_DN10758_c0_g1.p1, TRINITY_DN114363_c0_g1.p1, TRINITY_DN115785_c0_g1.p1, TRINITY_DN11650_c0_g3.p3, TRINITY_DN12231_c1_g1.p1, TRINITY_DN130597_c0_g1.p1, TRINITY_DN13332_c0_g2.p1, TRINITY_DN13509_c0_g1.p9, TRINITY_DN1380_c0_g1.p3, TRINITY_DN13984_c2_g1.p1, TRINITY_DN14095_c1_g1.p1, TRINITY_DN14972_c3_g2.p1, TRINITY_DN15008_c0_g1.p1, TRINITY_DN15036_c2_g1.p1, TRINITY_DN15200_c2_g2.p2, TRINITY_DN152478_c0_g1.p1, TRINITY_DN15336_c0_g1.p2, TRINITY_DN17099_c0_g1.p4, TRINITY_DN17118_c0_g1.p2, TRINITY_DN1728_c0_g1.p4, TRINITY_DN17474_c2_g1.p1, TRINITY_DN1841_c7_g1.p1, TRINITY_DN19095_c1_g3.p1, TRINITY_DN19371_c0_g1.p1, TRINITY_DN20906_c2_g1.p2, TRINITY_DN21918_c0_g2.p1, TRINITY_DN21918_c2_g1.p1, TRINITY_DN23065_c0_g1.p3, TRINITY_DN231_c0_g1.p7, TRINITY_DN23278_c0_g1.p3, TRINITY_DN24767_c0_g1.p1, TRINITY_DN2549_c4_g1.p1, TRINITY_DN26142_c3_g1.p1, TRINITY_DN2730_c1_g3.p3, TRINITY_DN27993_c0_g1.p1, TRINITY_DN28244_c0_g1.p1, TRINITY_DN29593_c0_g1.p1, TRINITY_DN30186_c0_g1.p1, TRINITY_DN30186_c3_g1.p1, TRINITY_DN31278_c0_g3.p2, TRINITY_DN3182_c0_g1.p5, TRINITY_DN31942_c0_g1.p1, TRINITY_DN3318_c2_g1.p1, TRINITY_DN34622_c1_g1.p1, TRINITY_DN37492_c0_g1.p1, TRINITY_DN3796_c0_g1.p1, TRINITY_DN38588_c1_g1.p1, TRINITY_DN40759_c0_g1.p1, TRINITY_DN44972_c0_g2.p1, TRINITY_DN4658_c0_g3.p1, TRINITY_DN465_c0_g5.p7, TRINITY_DN4732_c0_g2.p3, TRINITY_DN47816_c0_g1.p1, TRINITY_DN48231_c0_g1.p1, TRINITY_DN5034_c1_g1.p1, TRINITY_DN6702_c3_g1.p1, TRINITY_DN708_c1_g1.p1, TRINITY_DN7220_c0_g2.p4, TRINITY_DN8686_c1_g1.p1, TRINITY_DN8969_c0_g1.p4
OG0000002	TRINITY_DN96320_c0_g2.p1	TRINITY_DN11582_c1_g1.p1, TRINITY_DN11993_c2_g1.p1, TRINITY_DN122380_c0_g1.p1, TRINITY_DN12293_c0_g1.p6, TRINITY_DN13108_c0_g1.p2, TRINITY_DN13332_c2_g2.p1, TRINITY_DN13398_c1_g1.p1, TRINITY_DN15026_c1_g1.p1, TRINITY_DN15053_c0_g1.p1, TRINITY_DN153849_c0_g1.p1, TRINITY_DN15510_c2_g1.p1, TRINITY_DN16270_c0_g1.p2, TRINITY_DN16888_c1_g1.p1, TRINITY_DN16901_c0_g1.p1, TRINITY_DN17378_c1_g1.p1, TRINITY_DN17773_c0_g2.p1, TRINITY_DN1848_c0_g2.p1, TRINITY_DN1870_c6_g1.p1, TRINITY_DN1893_c8_g1.p1, TRINITY_DN19185_c2_g1.p1, TRINITY_DN20546_c2_g1.p1, TRINITY_DN20607_c3_g1.p1, TRINITY_DN20744_c1_g1.p1, TRINITY_DN20984_c0_g2.p1, TRINITY_DN219_c0_g1.p2, TRINITY_DN22803_c1_g1.p1, TRINITY_DN22912_c0_g1.p1, TRINITY_DN23176_c1_g2.p1, TRINITY_DN23747_c0_g2.p1, TRINITY_DN25587_c0_g1.p3, TRINITY_DN26866_c1_g2.p1, TRINITY_DN27502_c0_g1.p2, TRINITY_DN29111_c2_g1.p2, TRINITY_DN29324_c1_g1.p1, TRINITY_DN308_c8_g1.p1, TRINITY_DN3262_c9_g1.p1, TRINITY_DN33846_c1_g1.p1, TRINITY_DN33879_c0_g1.p1, TRINITY_DN34054_c1_g1.p1, TRINITY_DN34214_c0_g1.p1, TRINITY_DN37139_c1_g1.p1, TRINITY_DN4220_c5_g1.p2, TRINITY_DN4244_c1_g1.p1, TRINITY_DN4706_c0_g1.p5, TRINITY_DN5010_c4_g1.p1, TRINITY_DN5091_c5_g1.p1, TRINITY_DN5400_c0_g2.p1, TRINITY_DN662_c2_g1.p1, TRINITY_DN6702_c1_g2.p1, TRINITY_DN7675_c0_g1.p1, TRINITY_DN8133_c0_g1.p1, TRINITY_DN8417_c0_g1.p4, TRINITY_DN8686_c0_g1.p1
OG0000003	TRINITY_DN12773_c0_g1.p2, TRINITY_DN2089_c3_g2.p1, TRINITY_DN585900_c0_g1.p1	TRINITY_DN11082_c2_g1.p1, TRINITY_DN12009_c0_g2.p1, TRINITY_DN12026_c0_g1.p2, TRINITY_DN12912_c1_g1.p1, TRINITY_DN1342_c0_g2.p1, TRINITY_DN13848_c0_g2.p1, TRINITY_DN14741_c2_g2.p1, TRINITY_DN1521_c8_g1.p1, TRINITY_DN15998_c1_g1.p1, TRINITY_DN16247_c0_g1.p1, TRINITY_DN17055_c2_g1.p1, TRINITY_DN1715_c0_g1.p5, TRINITY_DN17492_c0_g1.p1, TRINITY_DN19767_c0_g1.p1, TRINITY_DN1979_c0_g2.p1, TRINITY_DN19953_c0_g1.p1, TRINITY_DN20716_c1_g1.p1, TRINITY_DN20945_c5_g1.p1, TRINITY_DN20958_c0_g1.p1, TRINITY_DN21775_c0_g1.p1, TRINITY_DN2215_c0_g1.p3, TRINITY_DN22389_c0_g1.p1, TRINITY_DN22788_c2_g1.p1, TRINITY_DN22824_c0_g1.p4, TRINITY_DN23238_c0_g1.p2, TRINITY_DN23412_c0_g1.p1, TRINITY_DN23521_c0_g1.p1, TRINITY_DN26139_c1_g2.p1, TRINITY_DN26676_c2_g1.p1, TRINITY_DN27750_c0_g1.p2, TRINITY_DN2788_c0_g3.p2, TRINITY_DN28314_c1_g1.p1, TRINITY_DN28561_c1_g1.p1, TRINITY_DN28923_c0_g1.p2, TRINITY_DN2951_c2_g1.p2, TRINITY_DN29895_c2_g2.p1, TRINITY_DN30724_c1_g1.p1, TRINITY_DN32214_c0_g1.p1, TRINITY_DN3312_c0_g3.p1, TRINITY_DN4309_c3_g1.p1, TRINITY_DN52523_c0_g1.p1, TRINITY_DN5269_c5_g1.p1, TRINITY_DN6357_c1_g1.p1, TRINITY_DN7386_c3_g1.p1, TRINITY_DN7448_c0_g2.p3, TRINITY_DN7938_c1_g1.p1, TRINITY_DN8839_c0_g2.p3, TRINITY_DN8936_c0_g1.p2
OG0000004	TRINITY_DN390578_c0_g1.p1, TRINITY_DN477899_c0_g1.p1, TRINITY_DN75038_c0_g2.p1	TRINITY_DN108990_c0_g1.p1, TRINITY_DN111075_c0_g1.p1, TRINITY_DN111081_c0_g1.p1, TRINITY_DN117234_c0_g1.p1, TRINITY_DN123030_c0_g1.p1, TRINITY_DN124985_c0_g1.p1, TRINITY_DN12592_c0_g1.p1, TRINITY_DN12592_c0_g1.p2, TRINITY_DN12592_c0_g1.p4, TRINITY_DN128167_c0_g1.p1, TRINITY_DN131865_c0_g1.p1, TRINITY_DN13925_c0_g1.p1, TRINITY_DN141459_c0_g1.p1, TRINITY_DN143507_c0_g1.p1, TRINITY_DN14662_c0_g2.p1, TRINITY_DN148523_c0_g1.p1, TRINITY_DN151769_c0_g1.p1, TRINITY_DN18007_c0_g1.p1, TRINITY_DN19838_c0_g1.p1, TRINITY_DN19838_c0_g2.p1, TRINITY_DN22700_c1_g1.p1, TRINITY_DN23700_c0_g1.p1, TRINITY_DN26015_c0_g1.p1, TRINITY_DN26033_c0_g1.p1, TRINITY_DN27007_c0_g1.p1, TRINITY_DN27007_c0_g2.p1, TRINITY_DN28672_c0_g1.p1, TRINITY_DN34190_c0_g1.p1, TRINITY_DN34325_c0_g1.p1, TRINITY_DN37192_c0_g1.p1, TRINITY_DN43271_c0_g1.p1, TRINITY_DN44819_c0_g2.p1, TRINITY_DN45023_c0_g1.p1, TRINITY_DN46694_c0_g1.p1, TRINITY_DN68520_c0_g1.p1, TRINITY_DN78712_c0_g1.p3, TRINITY_DN8009_c0_g1.p1, TRINITY_DN8009_c0_g1.p3, TRINITY_DN82241_c0_g1.p2, TRINITY_DN8895_c0_g1.p6, TRINITY_DN92748_c0_g1.p2, TRINITY_DN96884_c0_g1.p1, TRINITY_DN98372_c0_g1.p1, TRINITY_DN99220_c0_g1.p1
OG0000005	TRINITY_DN116996_c2_g1.p1, TRINITY_DN12258_c0_g1.p1, TRINITY_DN130805_c1_g1.p1, TRINITY_DN131152_c5_g1.p1, TRINITY_DN13970_c1_g1.p1, TRINITY_DN148935_c0_g1.p1, TRINITY_DN157557_c5_g1.p1, TRINITY_DN16677_c0_g1.p1, TRINITY_DN166809_c4_g1.p1, TRINITY_DN17950_c0_g1.p1, TRINITY_DN18290_c8_g1.p1, TRINITY_DN19459_c1_g1.p1, TRINITY_DN212365_c6_g1.p1, TRINITY_DN23446_c0_g1.p1, TRINITY_DN244478_c1_g1.p1, TRINITY_DN25683_c1_g1.p1, TRINITY_DN27321_c2_g1.p1, TRINITY_DN2997_c3_g1.p1, TRINITY_DN3104_c73_g1.p1, TRINITY_DN314554_c0_g1.p1, TRINITY_DN32436_c0_g1.p1, TRINITY_DN36564_c1_g1.p1, TRINITY_DN36854_c2_g1.p1, TRINITY_DN40389_c3_g1.p1, TRINITY_DN40673_c0_g1.p1, TRINITY_DN43947_c0_g2.p1, TRINITY_DN4483_c14_g1.p1, TRINITY_DN4637_c16_g1.p1, TRINITY_DN49334_c7_g1.p1, TRINITY_DN51293_c9_g1.p1, TRINITY_DN52229_c8_g1.p1, TRINITY_DN68443_c0_g1.p8, TRINITY_DN74474_c8_g1.p1, TRINITY_DN74489_c0_g1.p1, TRINITY_DN7727_c7_g2.p1, TRINITY_DN82904_c2_g1.p1, TRINITY_DN8509_c2_g1.p1, TRINITY_DN89590_c5_g1.p1, TRINITY_DN90634_c3_g1.p1, TRINITY_DN91025_c0_g2.p1, TRINITY_DN91176_c7_g1.p1	
OG0000006	TRINITY_DN1468_c0_g2.p1, TRINITY_DN3325_c0_g1.p1	TRINITY_DN108160_c0_g1.p1, TRINITY_DN110614_c0_g1.p3, TRINITY_DN118731_c0_g1.p1, TRINITY_DN127969_c0_g1.p1, TRINITY_DN129606_c0_g1.p1, TRINITY_DN142299_c0_g1.p1, TRINITY_DN14978_c0_g2.p1, TRINITY_DN152714_c0_g1.p1, TRINITY_DN16529_c0_g1.p1, TRINITY_DN17155_c0_g1.p1, TRINITY_DN19620_c0_g1.p1, TRINITY_DN20703_c0_g1.p1, TRINITY_DN23129_c0_g1.p1, TRINITY_DN26067_c0_g1.p1, TRINITY_DN26067_c0_g1.p2, TRINITY_DN26845_c0_g1.p3, TRINITY_DN27175_c0_g1.p1, TRINITY_DN3333_c0_g1.p1, TRINITY_DN3333_c0_g2.p1, TRINITY_DN3333_c0_g2.p3, TRINITY_DN33691_c0_g1.p1, TRINITY_DN34880_c0_g1.p1, TRINITY_DN38464_c0_g1.p1, TRINITY_DN3863_c0_g2.p2, TRINITY_DN4255_c0_g1.p2, TRINITY_DN431_c0_g2.p1, TRINITY_DN48178_c0_g1.p1, TRINITY_DN5665_c0_g1.p4, TRINITY_DN58550_c0_g1.p1, TRINITY_DN61581_c0_g1.p1, TRINITY_DN7095_c0_g1.p1, TRINITY_DN7095_c0_g1.p2, TRINITY_DN72497_c0_g1.p1, TRINITY_DN73789_c0_g1.p1, TRINITY_DN7826_c0_g1.p1, TRINITY_DN80888_c0_g1.p1, TRINITY_DN8858_c0_g1.p1, TRINITY_DN8858_c0_g2.p1, TRINITY_DN88880_c0_g1.p1
OG0000007	TRINITY_DN11031_c2_g1.p4, TRINITY_DN13138_c0_g1.p1, TRINITY_DN14054_c4_g1.p1, TRINITY_DN14216_c0_g1.p1, TRINITY_DN146470_c0_g1.p1, TRINITY_DN14662_c4_g2.p1, TRINITY_DN14662_c6_g1.p1, TRINITY_DN164314_c0_g1.p1, TRINITY_DN168574_c0_g1.p1, TRINITY_DN17168_c0_g1.p3, TRINITY_DN177026_c1_g1.p1, TRINITY_DN204122_c1_g1.p1, TRINITY_DN20451_c0_g1.p1, TRINITY_DN24693_c17_g1.p1, TRINITY_DN27099_c11_g1.p1, TRINITY_DN27120_c0_g4.p1, TRINITY_DN3104_c124_g1.p1, TRINITY_DN31797_c0_g1.p1, TRINITY_DN352219_c0_g1.p1, TRINITY_DN376115_c0_g1.p1, TRINITY_DN377357_c0_g1.p1, TRINITY_DN398847_c0_g1.p1, TRINITY_DN41321_c0_g1.p1, TRINITY_DN431964_c0_g1.p1, TRINITY_DN4637_c0_g1.p1, TRINITY_DN529222_c0_g1.p1, TRINITY_DN531772_c0_g1.p1, TRINITY_DN57277_c0_g2.p1, TRINITY_DN6126_c0_g1.p4, TRINITY_DN6126_c0_g1.p5, TRINITY_DN63345_c6_g1.p1, TRINITY_DN65104_c0_g1.p1, TRINITY_DN72029_c0_g1.p1, TRINITY_DN74688_c0_g1.p1, TRINITY_DN75188_c0_g1.p1, TRINITY_DN8462_c0_g1.p2, TRINITY_DN89016_c0_g4.p1, TRINITY_DN9273_c0_g1.p2, TRINITY_DN98239_c0_g1.p1	
OG0000008	TRINITY_DN13417_c0_g1.p2, TRINITY_DN14884_c0_g2.p1, TRINITY_DN14884_c0_g3.p2, TRINITY_DN14884_c0_g4.p2, TRINITY_DN14884_c1_g1.p1, TRINITY_DN14884_c1_g3.p1, TRINITY_DN14884_c1_g5.p2, TRINITY_DN14889_c0_g1.p2, TRINITY_DN17053_c0_g1.p1, TRINITY_DN17053_c0_g2.p2, TRINITY_DN17053_c0_g3.p2, TRINITY_DN17903_c0_g1.p1, TRINITY_DN19194_c0_g1.p1, TRINITY_DN19194_c1_g1.p1, TRINITY_DN19194_c1_g3.p2, TRINITY_DN19194_c1_g5.p1, TRINITY_DN19194_c2_g1.p1, TRINITY_DN19194_c3_g1.p2, TRINITY_DN19194_c5_g1.p1, TRINITY_DN22929_c0_g1.p1, TRINITY_DN22929_c0_g2.p1, TRINITY_DN264174_c1_g1.p1, TRINITY_DN293924_c0_g1.p1, TRINITY_DN34635_c0_g1.p1, TRINITY_DN35285_c0_g1.p1, TRINITY_DN35285_c0_g2.p2, TRINITY_DN35285_c0_g3.p2, TRINITY_DN35285_c0_g4.p1, TRINITY_DN35285_c0_g5.p1, TRINITY_DN35285_c1_g1.p2, TRINITY_DN35285_c2_g1.p2, TRINITY_DN35285_c2_g2.p1, TRINITY_DN374873_c0_g1.p1, TRINITY_DN534355_c0_g1.p1, TRINITY_DN583834_c0_g1.p1, TRINITY_DN599820_c0_g1.p3, TRINITY_DN68558_c0_g1.p1, TRINITY_DN88542_c0_g2.p2, TRINITY_DN8892_c1_g1.p2	
OG0000009	TRINITY_DN10019_c0_g1.p1, TRINITY_DN10646_c1_g1.p1, TRINITY_DN132201_c0_g1.p1, TRINITY_DN13291_c0_g1.p1, TRINITY_DN13291_c1_g1.p1, TRINITY_DN143936_c0_g1.p2, TRINITY_DN1562_c0_g1.p1, TRINITY_DN1581_c0_g1.p1, TRINITY_DN167429_c0_g1.p1, TRINITY_DN19908_c0_g1.p1, TRINITY_DN212424_c0_g1.p1, TRINITY_DN23936_c0_g1.p1, TRINITY_DN23936_c1_g1.p1, TRINITY_DN373690_c0_g1.p1, TRINITY_DN373852_c0_g1.p1, TRINITY_DN4120_c2_g1.p1, TRINITY_DN4151_c0_g1.p1, TRINITY_DN4151_c0_g3.p1, TRINITY_DN4739_c0_g1.p4, TRINITY_DN5069_c0_g1.p1, TRINITY_DN5069_c0_g2.p1, TRINITY_DN537977_c0_g1.p1, TRINITY_DN555222_c0_g1.p2, TRINITY_DN59199_c1_g2.p1, TRINITY_DN593524_c0_g1.p1, TRINITY_DN595232_c0_g1.p1, TRINITY_DN7263_c0_g1.p1, TRINITY_DN7364_c0_g1.p2, TRINITY_DN75462_c0_g1.p1, TRINITY_DN75462_c1_g1.p1, TRINITY_DN7626_c0_g1.p1, TRINITY_DN785_c0_g1.p4, TRINITY_DN8756_c0_g1.p1, TRINITY_DN916_c0_g1.p1	TRINITY_DN2541_c0_g2.p1, TRINITY_DN2541_c0_g3.p3
